candidate_id,source_feature_index,centroid_e_epsg25832,centroid_n_epsg25832,footprint_area_m2,texture_gradient_median,texture_gradient_p10,nearest_building_distance_m,building_fraction_in_10m_ring,visible_view_count,visible_views,max_baseline_height_ratio,reference_roof_z_m,official_dim_cells,official_dim_hole_ratio,official_dim_density_cells_m2,official_dim_z_median,custom_dim_points,custom_dim_density_points_m2,custom_dim_grid_cells_covered,custom_dim_grid_cells_total,custom_dim_hole_ratio,als_points,als_density_points_m2
vaihingen_a3_000,0,497157.9398129763,5419380.892034061,625.2736724144826,4.031128883361816,0.9428081512451172,1.8796868836996639,0.042473710515339914,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.9991427411368478,278.344,77780,0.0,124.39353107520742,275.95269775390625,0,0.0,0,10007,1.0,6439,10.297890802176145
vaihingen_a3_001,1,497147.61425621127,5419394.644599655,1.597598494928174,2.006932497024536,0.41216859221458435,0.7162621700239662,0.4683180322505377,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.9878265282438833,262.702,225,0.0,140.8363870611406,262.58758544921875,0,0.0,0,25,1.0,11,6.885334478544652
vaihingen_a3_002,2,497146.83274647425,5419399.609546906,43.22968389665373,2.173067569732666,0.6871834993362427,0.7162621700239662,0.3840324156705754,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.9891597509788309,263.693,5442,0.0,125.88572271335177,263.479248046875,0,0.0,0,696,1.0,388,8.975314298563118
vaihingen_a3_003,3,497132.50484892726,5419400.618239059,212.9679208172429,0.8498355746269226,0.3333320617675781,2.4414582427344493,0.10401949466503976,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.9949531828659166,272.0955,26482,0.0,124.34736601821531,271.8313903808594,0,0.0,0,3410,1.0,655,3.0755805732924637
vaihingen_a3_004,4,497137.57082589885,5419378.135436997,76.49278639141558,3.3706235885620117,0.833331286907196,0.23502920775172112,0.17313747707422225,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.9880582017362656,266.58349999999996,9557,0.0,124.93988584879864,266.62188720703125,0,0.0,0,1242,1.0,654,8.549825818260365
vaihingen_a3_005,5,497140.9390705614,5419383.364081918,14.77247177438074,1.3942914009094238,0.372678279876709,0.23502920775172112,0.2195580031579551,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.9880322404517595,265.352,1880,0.0,127.26373952261685,265.91314697265625,0,0.0,0,240,1.0,53,3.5877543588822833
vaihingen_a3_006,6,497133.1301146466,5419363.255841436,190.4562266108133,2.108184337615967,0.6666679382324219,3.128998017848161,0.1481976723995668,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.9896163200611756,271.695,23645,0.0,124.14926212056716,273.3628234863281,0,0.0,0,3060,1.0,1831,9.613757620755274
vaihingen_a3_007,7,497124.4266214734,5419377.044058906,2.590074616193596,12.69399356842041,1.2018494606018066,6.222350065759447,0.12728233512807172,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.9859908924660763,265.443,342,0.0,132.04252798809603,265.2260437011719,0,0.0,0,42,1.0,23,8.88005305183102
vaihingen_a3_008,8,497121.15865634975,5419359.035762482,28.043408090565457,1.3437092304229736,0.372678279876709,0.6934218965584837,0.33621910899778495,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.9847857011689705,267.59,3556,0.0,126.8034180623122,267.6053466796875,0,0.0,0,451,1.0,278,9.913203099359615
vaihingen_a3_009,9,497096.7915878553,5419359.985613275,48.53382159030207,2.3392770290374756,0.5,0.6077660177565332,0.34255442708405953,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.9827753177139122,267.7915,6082,0.0,125.31467337027696,267.8719482421875,0,0.0,0,783,1.0,428,8.818592601525575
