candidate_id,source_feature_index,centroid_e_epsg25832,centroid_n_epsg25832,footprint_area_m2,texture_gradient_median,texture_gradient_p10,textureless_threshold_p40,texture_class,nearest_building_distance_m,open_threshold_p50_m,building_fraction_in_10m_ring,open_building_fraction_10m_max,openness_class,visible_view_count,visible_views,max_baseline_height_ratio,view_geometry_class,official_dim_cells,official_dim_hole_ratio,official_dim_density_cells_m2,official_dim_z_median,custom_dim_status,custom_dim_points,custom_dim_density_points_m2,custom_dim_grid_cells_covered,custom_dim_grid_cells_total,custom_dim_hole_ratio,als_points,als_density_points_m2,reference_roof_z_m,selected_positive_control,crs,reference_role
vaihingen_a3_000,0,497157.940,5419380.892,625.273672414,4.031128883,0.942808151,2.315406656,other,1.879686884,1.220133762,0.042473711,0.150000000,open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.999142741,good,77780,0.000000,124.393531,275.952698,partial,0,0.000000,0,10007,1.000000,6439,10.297891,278.344000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_001,1,497147.614,5419394.645,1.597598495,2.006932497,0.412168592,2.315406656,other,0.716262170,1.220133762,0.468318032,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.987826528,good,225,0.000000,140.836387,262.587585,partial,0,0.000000,0,25,1.000000,11,6.885334,262.702000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_002,2,497146.833,5419399.610,43.229683897,2.173067570,0.687183499,2.315406656,textureless,0.716262170,1.220133762,0.384032416,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.989159751,good,5442,0.000000,125.885723,263.479248,partial,0,0.000000,0,696,1.000000,388,8.975314,263.693000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_003,3,497132.505,5419400.618,212.967920817,0.849835575,0.333332062,2.315406656,textureless,2.441458243,1.220133762,0.104019495,0.150000000,open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.994953183,good,26482,0.000000,124.347366,271.831390,partial,0,0.000000,0,3410,1.000000,655,3.075581,272.095500,true,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_004,4,497137.571,5419378.135,76.492786391,3.370623589,0.833331287,2.315406656,other,0.235029208,1.220133762,0.173137477,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.988058202,good,9557,0.000000,124.939886,266.621887,partial,0,0.000000,0,1242,1.000000,654,8.549826,266.583500,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_005,5,497140.939,5419383.364,14.772471774,1.394291401,0.372678280,2.315406656,other,0.235029208,1.220133762,0.219558003,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.988032240,good,1880,0.000000,127.263740,265.913147,partial,0,0.000000,0,240,1.000000,53,3.587754,265.352000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_006,6,497133.130,5419363.256,190.456226611,2.108184338,0.666667938,2.315406656,textureless,3.128998018,1.220133762,0.148197672,0.150000000,open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.989616320,good,23645,0.000000,124.149262,273.362823,partial,0,0.000000,0,3060,1.000000,1831,9.613758,271.695000,true,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_007,7,497124.427,5419377.044,2.590074616,12.693993568,1.201849461,2.315406656,other,6.222350066,1.220133762,0.127282335,0.150000000,open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.985990892,good,342,0.000000,132.042528,265.226044,partial,0,0.000000,0,42,1.000000,23,8.880053,265.443000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_008,8,497121.159,5419359.036,28.043408091,1.343709230,0.372678280,2.315406656,other,0.693421897,1.220133762,0.336219109,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.984785701,good,3556,0.000000,126.803418,267.605347,partial,0,0.000000,0,451,1.000000,278,9.913203,267.590000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_009,9,497096.792,5419359.986,48.533821590,2.339277029,0.500000000,2.315406656,other,0.607766018,1.220133762,0.342554427,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.982775318,good,6082,0.000000,125.314673,267.871948,partial,0,0.000000,0,783,1.000000,428,8.818593,267.791500,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_010,10,497109.988,5419365.390,229.248155601,3.171051025,0.897525787,2.315406656,other,0.607766018,1.220133762,0.174720809,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.989904378,good,28465,0.000000,124.166757,272.891724,partial,0,0.000000,0,3665,1.000000,2366,10.320694,274.216000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_011,11,497108.975,5419378.790,14.327238546,1.054092407,0.333333969,2.315406656,other,4.419111144,1.220133762,0.155939893,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.986392610,good,1828,0.000000,127.589137,267.417419,partial,0,0.000000,0,232,1.000000,134,9.352814,267.388000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_012,12,497083.702,5419365.550,231.112390146,2.635231018,0.849835575,2.315406656,other,0.709975842,1.220133762,0.107608565,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.988735461,good,28737,0.000000,124.342100,273.731384,partial,0,0.000000,0,3698,1.000000,2183,9.445621,276.214500,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_013,13,497073.923,5419379.288,23.333570283,0.745356560,0.235704064,2.315406656,other,5.507103386,1.220133762,0.098431701,0.150000000,open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.982186679,good,2921,0.000000,125.184443,266.513794,partial,0,0.000000,0,379,1.000000,207,8.871338,266.656000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_014,14,497074.109,5419396.598,80.677531922,3.933474064,1.343708515,2.315406656,other,0.594516256,1.220133762,0.132038737,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.983457580,good,10130,0.000000,125.561600,265.447662,partial,0,0.000000,0,1290,1.000000,672,8.329457,265.292000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_015,15,497086.391,5419408.304,195.123965605,3.419713259,1.054092169,2.315406656,other,0.000000334,1.220133762,0.180013845,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.990880243,good,24290,0.000000,124.484965,270.028931,partial,0,0.000000,0,3122,1.000000,1783,9.137781,271.170000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_016,16,497106.232,5419403.733,256.944675043,3.144662142,1.067187190,2.315406656,other,0.000000334,1.220133762,0.158974358,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250132;10250133;10250134,0.992543372,good,31847,0.000000,123.944970,270.448914,partial,0,0.000000,0,4110,1.000000,2505,9.749180,271.416000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_017,17,497190.272,5419320.227,10.318835170,4.949747562,0.600925565,2.315406656,other,1.527098082,1.220133762,0.239159988,0.150000000,not_open,7,10040083;10040084;10050105;10050106;10250133;10250134;10250135,1.004924374,good,1343,0.000000,130.150349,267.445099,partial,0,0.000000,0,169,1.000000,141,13.664333,265.010000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
