member,staged_path,status,size_bytes,sha256,archive_crc32_hex
Vaihingen/ALS/Vaihingen_Strip_03.LAS,fair-pilot/staging/area3_source_epsg32632/ALS/Vaihingen_Strip_03.LAS,extracted,105739060,0382ce485f3b92172de7a35d25a58dad5f35b7ce2625ab33a6c38a334b544ab5,f18b9f66
Vaihingen/ALS/Vaihingen_Strip_05.LAS,fair-pilot/staging/area3_source_epsg32632/ALS/Vaihingen_Strip_05.LAS,extracted,100573776,3913bebbf17bcebc8ccde8521a283493abb48ee3e1ea91abd888398f8a6ca9d6,381b94c8
Vaihingen/DSM/DSM_09cm_matching.tfw,fair-pilot/staging/area3_source_epsg32632/DSM/DSM_09cm_matching.tfw,extracted,72,f6ba2a1358465c0683dd108e5847b9ec4fe44c4142fa9ba41f1227b29eaa3b6c,2968a792
Vaihingen/DSM/DSM_09cm_matching.tif,fair-pilot/staging/area3_source_epsg32632/DSM/DSM_09cm_matching.tif,extracted,1761635093,7d0debf46ebc68f3a0d29cbe9f23f3de32ad34ddab60810a3350ecaef79f972c,f01f6878
Vaihingen/DSM/DSM_25cm_ALS.tfw,fair-pilot/staging/area3_source_epsg32632/DSM/DSM_25cm_ALS.tfw,extracted,72,129b782f9f2c9d034b6f98203946e5c16b60eec2d25d7d0aed2706bc75983ddb,12dcbb8b
Vaihingen/DSM/DSM_25cm_ALS.tif,fair-pilot/staging/area3_source_epsg32632/DSM/DSM_25cm_ALS.tif,extracted,163580885,a84d9c931dc833e4cbf5cd2875fafcc7f86835e78e27f9dca812f1e80cec7912,c130a979
Vaihingen/Images/10040082.tif,fair-pilot/staging/area3_source_epsg32632/Images/10040082.tif,extracted,856964678,13cea62c3115177b48a61f62a0e9d3e4d098181e16b5b3c9142ba7900b50ff8a,343c6d63
Vaihingen/Images/10040083.tif,fair-pilot/staging/area3_source_epsg32632/Images/10040083.tif,extracted,856964678,5829c8f96fd7eed84117a5181a95bff99174bc89398e3eb240e561c5475fa381,20588ecc
Vaihingen/Images/10040084.tif,fair-pilot/staging/area3_source_epsg32632/Images/10040084.tif,extracted,856964678,638f8733438eacb92551a983df1bdc6b4d4d5d264b26711df6b14fb30b7a3d44,4cbfc65c
Vaihingen/Images/10050104.tif,fair-pilot/staging/area3_source_epsg32632/Images/10050104.tif,extracted,856964678,46a272f30228a2dedd6066311e6255dd17226c58ee44be6a640fa6846c3d71e3,6697512c
Vaihingen/Images/10050105.tif,fair-pilot/staging/area3_source_epsg32632/Images/10050105.tif,extracted,856964678,71958e05f9dc11e90cbdeda7bc1d78c4c007218465d724936804e3eac4fb9b9a,0afd0a89
Vaihingen/Images/10050106.tif,fair-pilot/staging/area3_source_epsg32632/Images/10050106.tif,extracted,856964678,c91035f80784be1751fd04da3b1d0dad820b9d7a64f6016080f4827cf95d9434,40f7583b
Vaihingen/Images/10250132.tif,fair-pilot/staging/area3_source_epsg32632/Images/10250132.tif,extracted,856964678,a84ade792cbdd6f351fb2913708c62225c2b29b607585889f53940ad2d6327ea,4c1389b8
Vaihingen/Images/10250133.tif,fair-pilot/staging/area3_source_epsg32632/Images/10250133.tif,extracted,856964678,a751192e36e1117ec8a85d3f039dd4b455eb1a99a5d30e2a567de50698cd1f90,e158036a
Vaihingen/Images/10250134.tif,fair-pilot/staging/area3_source_epsg32632/Images/10250134.tif,extracted,856964678,10e69a8e581635c1f6afb5f79497cc1354e2e60acef41daca6c8a83219b29d52,7ff65313
Vaihingen/Images/10250135.tif,fair-pilot/staging/area3_source_epsg32632/Images/10250135.tif,extracted,856964678,81a7f49c0ea2233e52217314bfbba45bb2cac315c074bc3914b0f633e7c76aa4,c5139098
Vaihingen/Images/Vaihingen_Date_UTC.txt,fair-pilot/staging/area3_source_epsg32632/Images/Vaihingen_Date_UTC.txt,extracted,704,12e734b4f8b1b19b2daa8f50195a64eeda8256abef1455e00b7309a6fefae73b,d0534678
Vaihingen/Images/daporo.dat,fair-pilot/staging/area3_source_epsg32632/Images/daporo.dat,extracted,1942,e1519af5b28c4b101c298d182ef9c3e10db58082942d525ce83354a3dda1f5a5,8686a0b8
Vaihingen/Images/daporp.dat,fair-pilot/staging/area3_source_epsg32632/Images/daporp.dat,extracted,4830,4ee9a7bf4a30936103991f35fd25c112ac847594cec274b2029504831a40476a,1e717feb
Vaihingen/Ortho/TOP_Mosaic_09cm.tfw,fair-pilot/staging/area3_source_epsg32632/Ortho/TOP_Mosaic_09cm.tfw,extracted,72,f6ba2a1358465c0683dd108e5847b9ec4fe44c4142fa9ba41f1227b29eaa3b6c,2968a792
Vaihingen/Ortho/TOP_Mosaic_09cm.tif,fair-pilot/staging/area3_source_epsg32632/Ortho/TOP_Mosaic_09cm.tif,extracted,1321219370,8bef50548690ee2fdb2f0b7349e34915c513aa22b93cdf7eed946d639f451096,fe273b44
Vaihingen/Overview_Vaihingen_DMC.pdf,fair-pilot/staging/area3_source_epsg32632/Overview_Vaihingen_DMC.pdf,extracted,373180,0785482a8efad461e78d711dbe70e80db70c97a63729e0be543016bad05eff39,a03ca35e
Vaihingen/Reference_3d_reconstruction/Reference_Area/borderline_area_3.DXF,fair-pilot/staging/area3_source_epsg32632/Reference_3d_reconstruction/Reference_Area/borderline_area_3.DXF,extracted,49925,7b1e504e8ad6c39558be561b592f415c753286bb206710a87c8124cebb5dba9d,5831fb32
Vaihingen/Reference_3d_reconstruction/Reference_Area/borderline_area_3.tfw,fair-pilot/staging/area3_source_epsg32632/Reference_3d_reconstruction/Reference_Area/borderline_area_3.tfw,extracted,90,576a0e563011f3cf6892c5b014a2924b2ce95d2ee73d8458be6a712609596974,13a4c454
Vaihingen/Reference_3d_reconstruction/Reference_Area/borderline_area_3.tif,fair-pilot/staging/area3_source_epsg32632/Reference_3d_reconstruction/Reference_Area/borderline_area_3.tif,extracted,58792,7feaeb16983ed77e1fc5593d107950a5034e55ffc408f3b4edda94268b960e1e,06bee16a
Vaihingen/Reference_3d_reconstruction/Reference_Buildings/building_outline_area_3.DXF,fair-pilot/staging/area3_source_epsg32632/Reference_3d_reconstruction/Reference_Buildings/building_outline_area_3.DXF,extracted,173379,04268b26d02546deccc6206aa51b7537b5b91b722617325fb3b946ec1cac5f37,a1f57db2
Vaihingen/Reference_3d_reconstruction/Reference_Buildings/building_outline_area_3.dbf,fair-pilot/staging/area3_source_epsg32632/Reference_3d_reconstruction/Reference_Buildings/building_outline_area_3.dbf,extracted,46745,15237aa1a2fff2c74a58242dfa169d56d7b98b63c40af843d0d9f73ce8222f77,ad3f7b92
Vaihingen/Reference_3d_reconstruction/Reference_Buildings/building_outline_area_3.prj,fair-pilot/staging/area3_source_epsg32632/Reference_3d_reconstruction/Reference_Buildings/building_outline_area_3.prj,extracted,561,b57e82497beb8f0856db998f0bd087c8cd72e63659375c8b5fab6b7c8726642b,ba756001
Vaihingen/Reference_3d_reconstruction/Reference_Buildings/building_outline_area_3.sbn,fair-pilot/staging/area3_source_epsg32632/Reference_3d_reconstruction/Reference_Buildings/building_outline_area_3.sbn,extracted,780,56b0488f9a826b865eb5966ca4d7b611457534443e254fc9b2b3b5ca12d4bed9,2ebded1b
