schema,row_type,aggregation,building_id,view_stem,image_name,views_total,views_with_building_id,views_evaluable,evaluation_domain,boundary_exclusion_px,boundary_metric,boundary_exclusion_definition,domain_pixels,boundary_excluded_pixels,evaluable_pixels,fixed_roof_pixels_before_exclusion,idmap_roof_pixels_before_exclusion,fixed_roof_pixels_evaluable,idmap_roof_pixels_evaluable,intersection_roof_pixels,union_roof_pixels,true_positive_pixels,true_negative_pixels,false_positive_pixels,false_negative_pixels,exact_match_pixels,binary_agreement,roof_iou,roof_dice,fixed_roof_recall_by_idmap,idmap_roof_precision_against_fixed,metric_status,actual_source_class_total_pixels,actual_source_class_mismatch_pixels_inventory,actual_source_class_mismatch_pixels_replay,actual_source_class_mismatch_pixels_delta_replay_minus_inventory,actual_source_class_agreement_inventory,actual_source_class_agreement_replay,actual_source_class_agreement_delta_replay_minus_inventory,actual_source_roof_iou_inventory,actual_source_roof_iou_replay,actual_source_roof_iou_delta_replay_minus_inventory,actual_source_replay_inventory_exact_match,actual_source_roof_membership_mismatch_boundary_excluded_pixels_replay,actual_source_roof_membership_mismatch_evaluable_pixels_replay,actual_source_replay_validation_rule,actual_source_geoid_m,actual_source_shift_z_m,raycast_building_id_role,raycast_depth_or_height_supervision,manifest_path,manifest_sha256,producer_script_path,producer_script_sha256,supplement_script_sha256,fixed_class_png_sha256,cache_npz_sha256,semantic_png_set_sha256,cache_npz_set_sha256,manifest_input_hash_set_sha256,manifest_input_hashes_json,priority_gallery_contract_sha256,priority_gallery_output_set_sha256,array_retention_policy,notes
jointbuildgs.s3a.idmap_class_agreement.v2,view,one_view_all_pixels,,DJI_20241217084553_0100_D,DJI_20241217084553_0100_D.JPG,1,,1,entire image after symmetric roof-boundary exclusion,1,Chebyshev/8-neighbor 3x3 transition band,exclude the union of pixels whose 3x3 Chebyshev neighborhood crosses either the fixed-class roof/nonroof transition or the raycast ID-roof/nonroof transition; this removes one pixel centre on each side of either transition; for per-building rows also exclude the same one-pixel band around that raycast building-ID support,91632,814,90818,61262,61262,60855,60855,60855,60855,60855,29963,0,0,90818,1.0,1.0,1.0,1.0,1.0,ok,91632,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,True,0,0,"nonblocking pixel replay measurement after strict committed-manifest, producer, input, datum, mesh, fixed-class-PNG, cache, and container locks; raw class mismatch/agreement and replay-minus-inventory deltas are recorded; roof-membership disagreements inside the locked evaluable domain remain scored and are never hidden",48.0,556.0,region address only,false,phases/p2-gsjso/runs/20260713_e5_c001_s3_track0/semantic_region_manifest.json,0a1e4a38a83c1f0f77e3cb4134d424b6311706f4b7a604c0d37308e70428600e,phases/p2-gsjso/scripts/e5_c001_s3_semantic_regions.py,6fde6adb2df01a5411b0a4512d53fb5f0d1e1e8b1636fe5f35a827de6ca3c384,602f6caa0f1c731f44f7cbaba7ebe13070632cb4862b05fe60722bd646036182,50ee55274a8e54e8ed05c9c6182518d9727a20763c7d1c91c0c40f97f32955d2,aa2369e9d1fae48d46409c069592c9855a8e8ddac42c9b7161e3ad1b064aeff3,eaca8fcd29b8a1462f88fa9996d2a5e7d21477e0735a3c6b136f713342492a24,30b8d87941f5c0884a26bf8ec2b061e592ca0059cb56f87f77432b9e7f4cf6ef,ea59818269e2fe20b1e7d545f0044f8cdbb7f5db291e66f67554f613dfe644d8,,638044b7847d044a11ede8cf97eff8c41d95c027eed659cc80522cff16007476,0859963e365ea062b8c13848907a7dd6c7a109a02c6d5fed922f0d1b93013672,"per-view rays, class raster, and building-ID raster are in-memory only and deleted after counters and any frozen priority crop are emitted; no raycast array is cached","fixed class PNG is authoritative; ID-roof = actual_label==1 and actual_bidmap>=0; replay pixel delta is recorded, not a provenance gate"
jointbuildgs.s3a.idmap_class_agreement.v2,view,one_view_all_pixels,,DJI_20241217084555_0101_D,DJI_20241217084555_0101_D.JPG,1,,1,entire image after symmetric roof-boundary exclusion,1,Chebyshev/8-neighbor 3x3 transition band,exclude the union of pixels whose 3x3 Chebyshev neighborhood crosses either the fixed-class roof/nonroof transition or the raycast ID-roof/nonroof transition; this removes one pixel centre on each side of either transition; for per-building rows also exclude the same one-pixel band around that raycast building-ID support,108108,1054,107054,73351,73351,72824,72824,72824,72824,72824,34230,0,0,107054,1.0,1.0,1.0,1.0,1.0,ok,108108,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,True,0,0,"nonblocking pixel replay measurement after strict committed-manifest, producer, input, datum, mesh, fixed-class-PNG, cache, and container locks; raw class mismatch/agreement and replay-minus-inventory deltas are recorded; roof-membership disagreements inside the locked evaluable domain remain scored and are never hidden",48.0,556.0,region address only,false,phases/p2-gsjso/runs/20260713_e5_c001_s3_track0/semantic_region_manifest.json,0a1e4a38a83c1f0f77e3cb4134d424b6311706f4b7a604c0d37308e70428600e,phases/p2-gsjso/scripts/e5_c001_s3_semantic_regions.py,6fde6adb2df01a5411b0a4512d53fb5f0d1e1e8b1636fe5f35a827de6ca3c384,602f6caa0f1c731f44f7cbaba7ebe13070632cb4862b05fe60722bd646036182,08b6c9f7ff4f3ecbc80041055f3dc2646664c4e163460d692a0935a13b410ca4,4dd211ed05573a8035d5a9cdfb448871adb86214a087853777900cc8e506c3b4,eaca8fcd29b8a1462f88fa9996d2a5e7d21477e0735a3c6b136f713342492a24,30b8d87941f5c0884a26bf8ec2b061e592ca0059cb56f87f77432b9e7f4cf6ef,ea59818269e2fe20b1e7d545f0044f8cdbb7f5db291e66f67554f613dfe644d8,,638044b7847d044a11ede8cf97eff8c41d95c027eed659cc80522cff16007476,0859963e365ea062b8c13848907a7dd6c7a109a02c6d5fed922f0d1b93013672,"per-view rays, class raster, and building-ID raster are in-memory only and deleted after counters and any frozen priority crop are emitted; no raycast array is cached","fixed class PNG is authoritative; ID-roof = actual_label==1 and actual_bidmap>=0; replay pixel delta is recorded, not a provenance gate"
jointbuildgs.s3a.idmap_class_agreement.v2,view,one_view_all_pixels,,DJI_20241217084557_0102_D,DJI_20241217084557_0102_D.JPG,1,,1,entire image after symmetric roof-boundary exclusion,1,Chebyshev/8-neighbor 3x3 transition band,exclude the union of pixels whose 3x3 Chebyshev neighborhood crosses either the fixed-class roof/nonroof transition or the raycast ID-roof/nonroof transition; this removes one pixel centre on each side of either transition; for per-building rows also exclude the same one-pixel band around that raycast building-ID support,119629,1296,118333,81557,81557,80909,80909,80909,80909,80909,37424,0,0,118333,1.0,1.0,1.0,1.0,1.0,ok,119629,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,True,0,0,"nonblocking pixel replay measurement after strict committed-manifest, producer, input, datum, mesh, fixed-class-PNG, cache, and container locks; raw class mismatch/agreement and replay-minus-inventory deltas are recorded; roof-membership disagreements inside the locked evaluable domain remain scored and are never hidden",48.0,556.0,region address only,false,phases/p2-gsjso/runs/20260713_e5_c001_s3_track0/semantic_region_manifest.json,0a1e4a38a83c1f0f77e3cb4134d424b6311706f4b7a604c0d37308e70428600e,phases/p2-gsjso/scripts/e5_c001_s3_semantic_regions.py,6fde6adb2df01a5411b0a4512d53fb5f0d1e1e8b1636fe5f35a827de6ca3c384,602f6caa0f1c731f44f7cbaba7ebe13070632cb4862b05fe60722bd646036182,50cf0da5d60a705a2307d055927c81a6f975ad2ec4c917be7e06af27d9e6cdaa,528a69bb10e1ccdcef0b9e51347d643454107a448db07f4f41c0bfd60e8496c4,eaca8fcd29b8a1462f88fa9996d2a5e7d21477e0735a3c6b136f713342492a24,30b8d87941f5c0884a26bf8ec2b061e592ca0059cb56f87f77432b9e7f4cf6ef,ea59818269e2fe20b1e7d545f0044f8cdbb7f5db291e66f67554f613dfe644d8,,638044b7847d044a11ede8cf97eff8c41d95c027eed659cc80522cff16007476,0859963e365ea062b8c13848907a7dd6c7a109a02c6d5fed922f0d1b93013672,"per-view rays, class raster, and building-ID raster are in-memory only and deleted after counters and any frozen priority crop are emitted; no raycast array is cached","fixed class PNG is authoritative; ID-roof = actual_label==1 and actual_bidmap>=0; replay pixel delta is recorded, not a provenance gate"
jointbuildgs.s3a.idmap_class_agreement.v2,view,one_view_all_pixels,,DJI_20241217084559_0103_D,DJI_20241217084559_0103_D.JPG,1,,1,entire image after symmetric roof-boundary exclusion,1,Chebyshev/8-neighbor 3x3 transition band,exclude the union of pixels whose 3x3 Chebyshev neighborhood crosses either the fixed-class roof/nonroof transition or the raycast ID-roof/nonroof transition; this removes one pixel centre on each side of either transition; for per-building rows also exclude the same one-pixel band around that raycast building-ID support,250000,2700,247300,84748,84748,83407,83407,83407,83407,83407,163893,0,0,247300,1.0,1.0,1.0,1.0,1.0,ok,250000,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,True,0,0,"nonblocking pixel replay measurement after strict committed-manifest, producer, input, datum, mesh, fixed-class-PNG, cache, and container locks; raw class mismatch/agreement and replay-minus-inventory deltas are recorded; roof-membership disagreements inside the locked evaluable domain remain scored and are never hidden",48.0,556.0,region address only,false,phases/p2-gsjso/runs/20260713_e5_c001_s3_track0/semantic_region_manifest.json,0a1e4a38a83c1f0f77e3cb4134d424b6311706f4b7a604c0d37308e70428600e,phases/p2-gsjso/scripts/e5_c001_s3_semantic_regions.py,6fde6adb2df01a5411b0a4512d53fb5f0d1e1e8b1636fe5f35a827de6ca3c384,602f6caa0f1c731f44f7cbaba7ebe13070632cb4862b05fe60722bd646036182,6576dd5e23ab8dbafff12c7a870f39a5c08552fef015c1f6672e1c710c275311,c45cd9e23e9c353478c03c668c4667f25cf555ba7a76511703f1a345132dd332,eaca8fcd29b8a1462f88fa9996d2a5e7d21477e0735a3c6b136f713342492a24,30b8d87941f5c0884a26bf8ec2b061e592ca0059cb56f87f77432b9e7f4cf6ef,ea59818269e2fe20b1e7d545f0044f8cdbb7f5db291e66f67554f613dfe644d8,,638044b7847d044a11ede8cf97eff8c41d95c027eed659cc80522cff16007476,0859963e365ea062b8c13848907a7dd6c7a109a02c6d5fed922f0d1b93013672,"per-view rays, class raster, and building-ID raster are in-memory only and deleted after counters and any frozen priority crop are emitted; no raycast array is cached","fixed class PNG is authoritative; ID-roof = actual_label==1 and actual_bidmap>=0; replay pixel delta is recorded, not a provenance gate"
jointbuildgs.s3a.idmap_class_agreement.v2,view,one_view_all_pixels,,DJI_20241217084601_0104_D,DJI_20241217084601_0104_D.JPG,1,,1,entire image after symmetric roof-boundary exclusion,1,Chebyshev/8-neighbor 3x3 transition band,exclude the union of pixels whose 3x3 Chebyshev neighborhood crosses either the fixed-class roof/nonroof transition or the raycast ID-roof/nonroof transition; this removes one pixel centre on each side of either transition; for per-building rows also exclude the same one-pixel band around that raycast building-ID support,160875,2727,158148,99719,99719,98364,98364,98364,98364,98364,59784,0,0,158148,1.0,1.0,1.0,1.0,1.0,ok,160875,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,True,0,0,"nonblocking pixel replay measurement after strict committed-manifest, producer, input, datum, mesh, fixed-class-PNG, cache, and container locks; raw class mismatch/agreement and replay-minus-inventory deltas are recorded; roof-membership disagreements inside the locked evaluable domain remain scored and are never hidden",48.0,556.0,region address only,false,phases/p2-gsjso/runs/20260713_e5_c001_s3_track0/semantic_region_manifest.json,0a1e4a38a83c1f0f77e3cb4134d424b6311706f4b7a604c0d37308e70428600e,phases/p2-gsjso/scripts/e5_c001_s3_semantic_regions.py,6fde6adb2df01a5411b0a4512d53fb5f0d1e1e8b1636fe5f35a827de6ca3c384,602f6caa0f1c731f44f7cbaba7ebe13070632cb4862b05fe60722bd646036182,d5ead46111e7aeee230c42f26df866a7265d1d2162dfbcd5f08ba66018775ffe,d118392103a7eaddd76c6d70712aad538811a39e3c4cfece2cb14e6e5dc29dc4,eaca8fcd29b8a1462f88fa9996d2a5e7d21477e0735a3c6b136f713342492a24,30b8d87941f5c0884a26bf8ec2b061e592ca0059cb56f87f77432b9e7f4cf6ef,ea59818269e2fe20b1e7d545f0044f8cdbb7f5db291e66f67554f613dfe644d8,,638044b7847d044a11ede8cf97eff8c41d95c027eed659cc80522cff16007476,0859963e365ea062b8c13848907a7dd6c7a109a02c6d5fed922f0d1b93013672,"per-view rays, class raster, and building-ID raster are in-memory only and deleted after counters and any frozen priority crop are emitted; no raycast array is cached","fixed class PNG is authoritative; ID-roof = actual_label==1 and actual_bidmap>=0; replay pixel delta is recorded, not a provenance gate"
jointbuildgs.s3a.idmap_class_agreement.v2,view,one_view_all_pixels,,DJI_20241217084603_0105_D,DJI_20241217084603_0105_D.JPG,1,,1,entire image after symmetric roof-boundary exclusion,1,Chebyshev/8-neighbor 3x3 transition band,exclude the union of pixels whose 3x3 Chebyshev neighborhood crosses either the fixed-class roof/nonroof transition or the raycast ID-roof/nonroof transition; this removes one pixel centre on each side of either transition; for per-building rows also exclude the same one-pixel band around that raycast building-ID support,185328,2379,182949,144386,144386,143195,143195,143195,143195,143195,39754,0,0,182949,1.0,1.0,1.0,1.0,1.0,ok,185328,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,True,0,0,"nonblocking pixel replay measurement after strict committed-manifest, producer, input, datum, mesh, fixed-class-PNG, cache, and container locks; raw class mismatch/agreement and replay-minus-inventory deltas are recorded; roof-membership disagreements inside the locked evaluable domain remain scored and are never hidden",48.0,556.0,region address only,false,phases/p2-gsjso/runs/20260713_e5_c001_s3_track0/semantic_region_manifest.json,0a1e4a38a83c1f0f77e3cb4134d424b6311706f4b7a604c0d37308e70428600e,phases/p2-gsjso/scripts/e5_c001_s3_semantic_regions.py,6fde6adb2df01a5411b0a4512d53fb5f0d1e1e8b1636fe5f35a827de6ca3c384,602f6caa0f1c731f44f7cbaba7ebe13070632cb4862b05fe60722bd646036182,dbaf3cffd916a9a45acd9aeb63a03ed3ebed3fa475a9145917d715f418c34bb8,40f2f9ab4912cb97a5b75f1683a972a9af79486c336542d4f5c1e8c11a343240,eaca8fcd29b8a1462f88fa9996d2a5e7d21477e0735a3c6b136f713342492a24,30b8d87941f5c0884a26bf8ec2b061e592ca0059cb56f87f77432b9e7f4cf6ef,ea59818269e2fe20b1e7d545f0044f8cdbb7f5db291e66f67554f613dfe644d8,,638044b7847d044a11ede8cf97eff8c41d95c027eed659cc80522cff16007476,0859963e365ea062b8c13848907a7dd6c7a109a02c6d5fed922f0d1b93013672,"per-view rays, class raster, and building-ID raster are in-memory only and deleted after counters and any frozen priority crop are emitted; no raycast array is cached","fixed class PNG is authoritative; ID-roof = actual_label==1 and actual_bidmap>=0; replay pixel delta is recorded, not a provenance gate"
jointbuildgs.s3a.idmap_class_agreement.v2,view,one_view_all_pixels,,DJI_20241217084605_0106_D,DJI_20241217084605_0106_D.JPG,1,,1,entire image after symmetric roof-boundary exclusion,1,Chebyshev/8-neighbor 3x3 transition band,exclude the union of pixels whose 3x3 Chebyshev neighborhood crosses either the fixed-class roof/nonroof transition or the raycast ID-roof/nonroof transition; this removes one pixel centre on each side of either transition; for per-building rows also exclude the same one-pixel band around that raycast building-ID support,203125,2049,201076,184105,184105,183083,183083,183083,183083,183083,17993,0,0,201076,1.0,1.0,1.0,1.0,1.0,ok,203125,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,True,0,0,"nonblocking pixel replay measurement after strict committed-manifest, producer, input, datum, mesh, fixed-class-PNG, cache, and container locks; raw class mismatch/agreement and replay-minus-inventory deltas are recorded; roof-membership disagreements inside the locked evaluable domain remain scored and are never hidden",48.0,556.0,region address only,false,phases/p2-gsjso/runs/20260713_e5_c001_s3_track0/semantic_region_manifest.json,0a1e4a38a83c1f0f77e3cb4134d424b6311706f4b7a604c0d37308e70428600e,phases/p2-gsjso/scripts/e5_c001_s3_semantic_regions.py,6fde6adb2df01a5411b0a4512d53fb5f0d1e1e8b1636fe5f35a827de6ca3c384,602f6caa0f1c731f44f7cbaba7ebe13070632cb4862b05fe60722bd646036182,97ffe886e000166adca1bdfaf1ac171317dbddb2e566cf154004e2e8e7ffac34,24fe181169bc97e73f5049fc443335cb960aa0f81c59063af59f2f3897061941,eaca8fcd29b8a1462f88fa9996d2a5e7d21477e0735a3c6b136f713342492a24,30b8d87941f5c0884a26bf8ec2b061e592ca0059cb56f87f77432b9e7f4cf6ef,ea59818269e2fe20b1e7d545f0044f8cdbb7f5db291e66f67554f613dfe644d8,,638044b7847d044a11ede8cf97eff8c41d95c027eed659cc80522cff16007476,0859963e365ea062b8c13848907a7dd6c7a109a02c6d5fed922f0d1b93013672,"per-view rays, class raster, and building-ID raster are in-memory only and deleted after counters and any frozen priority crop are emitted; no raycast array is cached","fixed class PNG is authoritative; ID-roof = actual_label==1 and actual_bidmap>=0; replay pixel delta is recorded, not a provenance gate"
jointbuildgs.s3a.idmap_class_agreement.v2,view,one_view_all_pixels,,DJI_20241217084607_0107_D,DJI_20241217084607_0107_D.JPG,1,,1,entire image after symmetric roof-boundary exclusion,1,Chebyshev/8-neighbor 3x3 transition band,exclude the union of pixels whose 3x3 Chebyshev neighborhood crosses either the fixed-class roof/nonroof transition or the raycast ID-roof/nonroof transition; this removes one pixel centre on each side of either transition; for per-building rows also exclude the same one-pixel band around that raycast building-ID support,199563,3293,196270,192260,192260,190534,190534,190534,190534,190534,5736,0,0,196270,1.0,1.0,1.0,1.0,1.0,ok,199563,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,True,0,0,"nonblocking pixel replay measurement after strict committed-manifest, producer, input, datum, mesh, fixed-class-PNG, cache, and container locks; raw class mismatch/agreement and replay-minus-inventory deltas are recorded; roof-membership disagreements inside the locked evaluable domain remain scored and are never hidden",48.0,556.0,region address only,false,phases/p2-gsjso/runs/20260713_e5_c001_s3_track0/semantic_region_manifest.json,0a1e4a38a83c1f0f77e3cb4134d424b6311706f4b7a604c0d37308e70428600e,phases/p2-gsjso/scripts/e5_c001_s3_semantic_regions.py,6fde6adb2df01a5411b0a4512d53fb5f0d1e1e8b1636fe5f35a827de6ca3c384,602f6caa0f1c731f44f7cbaba7ebe13070632cb4862b05fe60722bd646036182,29acd8af66b7f12fcabc63ec3c867840aadf8645ec099aa3b73b66bae3c99440,174127360a60dce40b63ac33652b7436c7aadff78f1da646441a9edd3de6ed19,eaca8fcd29b8a1462f88fa9996d2a5e7d21477e0735a3c6b136f713342492a24,30b8d87941f5c0884a26bf8ec2b061e592ca0059cb56f87f77432b9e7f4cf6ef,ea59818269e2fe20b1e7d545f0044f8cdbb7f5db291e66f67554f613dfe644d8,,638044b7847d044a11ede8cf97eff8c41d95c027eed659cc80522cff16007476,0859963e365ea062b8c13848907a7dd6c7a109a02c6d5fed922f0d1b93013672,"per-view rays, class raster, and building-ID raster are in-memory only and deleted after counters and any frozen priority crop are emitted; no raycast array is cached","fixed class PNG is authoritative; ID-roof = actual_label==1 and actual_bidmap>=0; replay pixel delta is recorded, not a provenance gate"
jointbuildgs.s3a.idmap_class_agreement.v2,view,one_view_all_pixels,,DJI_20241217084609_0108_D,DJI_20241217084609_0108_D.JPG,1,,1,entire image after symmetric roof-boundary exclusion,1,Chebyshev/8-neighbor 3x3 transition band,exclude the union of pixels whose 3x3 Chebyshev neighborhood crosses either the fixed-class roof/nonroof transition or the raycast ID-roof/nonroof transition; this removes one pixel centre on each side of either transition; for per-building rows also exclude the same one-pixel band around that raycast building-ID support,184205,2891,181314,158931,158931,157486,157486,157486,157486,157486,23828,0,0,181314,1.0,1.0,1.0,1.0,1.0,ok,184205,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,True,0,0,"nonblocking pixel replay measurement after strict committed-manifest, producer, input, datum, mesh, fixed-class-PNG, cache, and container locks; raw class mismatch/agreement and replay-minus-inventory deltas are recorded; roof-membership disagreements inside the locked evaluable domain remain scored and are never hidden",48.0,556.0,region address only,false,phases/p2-gsjso/runs/20260713_e5_c001_s3_track0/semantic_region_manifest.json,0a1e4a38a83c1f0f77e3cb4134d424b6311706f4b7a604c0d37308e70428600e,phases/p2-gsjso/scripts/e5_c001_s3_semantic_regions.py,6fde6adb2df01a5411b0a4512d53fb5f0d1e1e8b1636fe5f35a827de6ca3c384,602f6caa0f1c731f44f7cbaba7ebe13070632cb4862b05fe60722bd646036182,38eeddeb5b2492141fc63f33ee073d01e7bb13fcfd7e881b7c18beab1b34d78a,891adf2d543f25890e843f0c6f0b60fce7d9e5622aeff10d60f082b2c0cbc15d,eaca8fcd29b8a1462f88fa9996d2a5e7d21477e0735a3c6b136f713342492a24,30b8d87941f5c0884a26bf8ec2b061e592ca0059cb56f87f77432b9e7f4cf6ef,ea59818269e2fe20b1e7d545f0044f8cdbb7f5db291e66f67554f613dfe644d8,,638044b7847d044a11ede8cf97eff8c41d95c027eed659cc80522cff16007476,0859963e365ea062b8c13848907a7dd6c7a109a02c6d5fed922f0d1b93013672,"per-view rays, class raster, and building-ID raster are in-memory only and deleted after counters and any frozen priority crop are emitted; no raycast array is cached","fixed class PNG is authoritative; ID-roof = actual_label==1 and actual_bidmap>=0; replay pixel delta is recorded, not a provenance gate"
jointbuildgs.s3a.idmap_class_agreement.v2,view,one_view_all_pixels,,DJI_20241217084611_0109_D,DJI_20241217084611_0109_D.JPG,1,,1,entire image after symmetric roof-boundary exclusion,1,Chebyshev/8-neighbor 3x3 transition band,exclude the union of pixels whose 3x3 Chebyshev neighborhood crosses either the fixed-class roof/nonroof transition or the raycast ID-roof/nonroof transition; this removes one pixel centre on each side of either transition; for per-building rows also exclude the same one-pixel band around that raycast building-ID support,124236,1755,122481,109116,109116,108078,108078,108078,108078,108078,14403,0,0,122481,1.0,1.0,1.0,1.0,1.0,ok,124236,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,True,0,0,"nonblocking pixel replay measurement after strict committed-manifest, producer, input, datum, mesh, fixed-class-PNG, cache, and container locks; raw class mismatch/agreement and replay-minus-inventory deltas are recorded; roof-membership disagreements inside the locked evaluable domain remain scored and are never hidden",48.0,556.0,region address only,false,phases/p2-gsjso/runs/20260713_e5_c001_s3_track0/semantic_region_manifest.json,0a1e4a38a83c1f0f77e3cb4134d424b6311706f4b7a604c0d37308e70428600e,phases/p2-gsjso/scripts/e5_c001_s3_semantic_regions.py,6fde6adb2df01a5411b0a4512d53fb5f0d1e1e8b1636fe5f35a827de6ca3c384,602f6caa0f1c731f44f7cbaba7ebe13070632cb4862b05fe60722bd646036182,6aeb4a96a5f664e224423d1c95b94cc6910c9146e95a6b575e51f2126fa59d1e,7a0fba079bf0e748ea30bb35193d470503c1794d5a2764fd28c830c7602c1fa5,eaca8fcd29b8a1462f88fa9996d2a5e7d21477e0735a3c6b136f713342492a24,30b8d87941f5c0884a26bf8ec2b061e592ca0059cb56f87f77432b9e7f4cf6ef,ea59818269e2fe20b1e7d545f0044f8cdbb7f5db291e66f67554f613dfe644d8,,638044b7847d044a11ede8cf97eff8c41d95c027eed659cc80522cff16007476,0859963e365ea062b8c13848907a7dd6c7a109a02c6d5fed922f0d1b93013672,"per-view rays, class raster, and building-ID raster are in-memory only and deleted after counters and any frozen priority crop are emitted; no raycast array is cached","fixed class PNG is authoritative; ID-roof = actual_label==1 and actual_bidmap>=0; replay pixel delta is recorded, not a provenance gate"
