source_path,relation,raw_target,line,class,resolved_target,verification
docs/evidence/archive/handoffs/P2_index_legacy.md,references,experiments/p2_mob_past_results.md,38,historical_migration,docs/experiments/input-and-alignment/p2_mob/reports/past_results.md,frozen_source;repo_target_exists
docs/evidence/archive/pre_tum_results/README.md,references,../../catalog/migrations/COMPACT_RESULTS_PROMOTION_PATHS.csv,5,historical_migration,docs/research/repository/migrations/COMPACT_RESULTS_PROMOTION_PATHS.csv,frozen_source;repo_target_exists
docs/evidence/archive/pre_tum_results/stage3_polyfit_analysis/phase1_REPORT.md,references,../phase2_ablation_citygml/figures/fig_polyfit_steps_large.png,10,historical_migration,results/phase2_ablation_citygml/figures/fig_polyfit_steps_large.png,frozen_source;artifact_target_exists
docs/evidence/archive/pre_tum_results/stage3_polyfit_analysis/phase1_REPORT.md,references,../phase2_ablation_citygml/_gt_polyfit_test/summary.json,6,historical_migration,docs/experiments/citygml-readout/phase2_ablation_citygml/metrics/_gt_polyfit_test/summary.json,frozen_source;repo_target_exists
docs/evidence/archive/pre_tum_results/stage3_polyfit_analysis/phase1_REPORT.md,references,../../src/stage3/polyfit_cli.cpp,7,historical_migration,src/stage3/polyfit_cli.cpp,frozen_source;repo_target_exists
docs/evidence/archive/pre_tum_results/stage3_polyfit_analysis/phase1_REPORT.md,references,../../scripts/phase2_synthesis/gt_polyfit_test.py,8,historical_migration,scripts/stage3_readout/gt_polyfit_test.py,frozen_source;repo_target_exists
docs/evidence/archive/pre_tum_results/stage3_polyfit_analysis/phase1_REPORT.md,references,../phase2_ablation_citygml/REPORT.md,9,historical_migration,docs/experiments/citygml-readout/phase2_ablation_citygml/reports/REPORT.md,frozen_source;repo_target_exists
docs/evidence/p0-audit/w3-quality-integration/reports/W3_1_roofer_quality.md,embeds,../../../docs/evidence/p0_g1_20260613/figs/fig_04_plane_f1_boxplot.png,31,historical_migration,docs/evidence/p0_g1_20260613/figs/fig_04_plane_f1_boxplot.png,frozen_source;repo_target_exists
docs/evidence/p0-audit/w3-quality-integration/reports/W3_1_roofer_quality.md,embeds,../../../docs/evidence/p0_g1_20260613/figs/fig_05_boundary_error_boxplots.png,33,historical_migration,docs/evidence/p0_g1_20260613/figs/fig_05_boundary_error_boxplots.png,frozen_source;repo_target_exists
docs/evidence/p0-audit/w3-quality-integration/reports/W3_1_roofer_quality.md,embeds,../../../docs/evidence/p0_g1_20260613/figs/fig_06_height_error_boxplots.png,35,historical_migration,docs/evidence/p0_g1_20260613/figs/fig_06_height_error_boxplots.png,frozen_source;repo_target_exists
docs/evidence/p0-audit/w3-quality-integration/reports/W3_1b_matching_validation.md,embeds,../../../docs/evidence/p0_g1_20260613/figs/fig_07_matching_overlay_high_4959793.png,17,historical_migration,docs/evidence/p0_g1_20260613/figs/fig_07_matching_overlay_high_4959793.png,frozen_source;repo_target_exists
docs/evidence/p0-audit/w3-quality-integration/reports/W3_1b_matching_validation.md,embeds,../../../docs/evidence/p0_g1_20260613/figs/fig_03_figure_1_1b_ridge_4907518.png,19,historical_migration,docs/evidence/p0_g1_20260613/figs/fig_03_figure_1_1b_ridge_4907518.png,frozen_source;repo_target_exists
docs/evidence/p0-audit/w3-quality-integration/reports/W3_1b_matching_validation.md,embeds,../../../docs/evidence/p0_g1_20260613/figs/fig_08_matching_overlay_low_4906987.png,21,historical_migration,docs/evidence/p0_g1_20260613/figs/fig_08_matching_overlay_low_4906987.png,frozen_source;repo_target_exists
docs/evidence/p0-audit/w3-quality-integration/reports/W3_failure_diagnosis.md,embeds,../../../docs/evidence/p0_g1_20260613/figs/fig_10_t7_failure_point_clips.png,53,historical_migration,docs/evidence/p0_g1_20260613/figs/fig_10_t7_failure_point_clips.png,frozen_source;repo_target_exists
docs/evidence/p0-audit/w3-quality-integration/reports/W3_failure_diagnosis.md,embeds,../../../docs/evidence/p0_g1_20260613/figs/fig_11_t7_failure_classification_counts.png,55,historical_migration,docs/evidence/p0_g1_20260613/figs/fig_11_t7_failure_classification_counts.png,frozen_source;repo_target_exists
docs/evidence/p0-audit/w3-quality-integration/reports/W3_failure_surface_cause.md,embeds,../../../docs/evidence/p0_g1_20260613/figs/fig_13_t9_failure_texture_crops.png,51,historical_migration,docs/evidence/p0_g1_20260613/figs/fig_13_t9_failure_texture_crops.png,frozen_source;repo_target_exists
docs/evidence/p0-audit/w3-quality-integration/reports/W3_qualitative_compare.md,embeds,../../../docs/evidence/p0_g1_20260613/figs/fig_17_t14_texture_to_points.png,25,historical_migration,docs/evidence/p0_g1_20260613/figs/fig_17_t14_texture_to_points.png,frozen_source;repo_target_exists
