building_id,status,reason,fallback_used,note
DEBY_LOD2_4907199,not_run,no local Omnidata/DSINE/mono-normal runtime or model weights found in repo,none,"COLMAP PatchMatch normal maps exist but are texture-dependent MVS normals, not the requested mono-normal prior"
DEBY_LOD2_8568391,not_run,no local Omnidata/DSINE/mono-normal runtime or model weights found in repo,none,"COLMAP PatchMatch normal maps exist but are texture-dependent MVS normals, not the requested mono-normal prior"
DEBY_LOD2_8568392,not_run,no local Omnidata/DSINE/mono-normal runtime or model weights found in repo,none,"COLMAP PatchMatch normal maps exist but are texture-dependent MVS normals, not the requested mono-normal prior"
DEBY_LOD2_60098,not_run,no local Omnidata/DSINE/mono-normal runtime or model weights found in repo,none,"COLMAP PatchMatch normal maps exist but are texture-dependent MVS normals, not the requested mono-normal prior"
DEBY_LOD2_4907186,not_run,no local Omnidata/DSINE/mono-normal runtime or model weights found in repo,none,"COLMAP PatchMatch normal maps exist but are texture-dependent MVS normals, not the requested mono-normal prior"
DEBY_LOD2_4907188,not_run,no local Omnidata/DSINE/mono-normal runtime or model weights found in repo,none,"COLMAP PatchMatch normal maps exist but are texture-dependent MVS normals, not the requested mono-normal prior"
DEBY_LOD2_4907194,not_run,no local Omnidata/DSINE/mono-normal runtime or model weights found in repo,none,"COLMAP PatchMatch normal maps exist but are texture-dependent MVS normals, not the requested mono-normal prior"
DEBY_LOD2_4907195,not_run,no local Omnidata/DSINE/mono-normal runtime or model weights found in repo,none,"COLMAP PatchMatch normal maps exist but are texture-dependent MVS normals, not the requested mono-normal prior"
DEBY_LOD2_4907184,not_run,no local Omnidata/DSINE/mono-normal runtime or model weights found in repo,none,"COLMAP PatchMatch normal maps exist but are texture-dependent MVS normals, not the requested mono-normal prior"
DEBY_LOD2_4907198,not_run,no local Omnidata/DSINE/mono-normal runtime or model weights found in repo,none,"COLMAP PatchMatch normal maps exist but are texture-dependent MVS normals, not the requested mono-normal prior"
