stable_id,group_id,split
DEBY_LOD2_108580335,GROUP_37b5107f054e56e8,development
DEBY_LOD2_108580336,GROUP_37b5107f054e56e8,development
DEBY_LOD2_42364663,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906965,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906966,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906967,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906968,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906970,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906972,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906973,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906974,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906975,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906976,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906977,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906981,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906982,GROUP_6e1c6ddc7a70ba88,development
DEBY_LOD2_4906983,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906984,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4906985,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907173,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907176,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907177,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907180,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907181,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907183,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907196,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907201,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907205,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907206,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907509,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907510,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907514,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907515,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907516,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4907517,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4908353,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4959314,GROUP_a47a79580ecbedd1,development
DEBY_LOD2_4959322,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4959323,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4959324,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4959325,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4959326,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4959327,GROUP_32a743e7f900e7ae,development
DEBY_LOD2_4959457,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4959458,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4959459,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4959460,GROUP_37b5107f054e56e8,development
DEBY_LOD2_4959461,GROUP_660281d563f14018,development
DEBY_LOD2_4959793,GROUP_37b5107f054e56e8,development
DEBY_LOD2_60042,GROUP_37b5107f054e56e8,development
DEBY_LOD2_8568403,GROUP_37b5107f054e56e8,development
