source_run,source_group,status,status_path,cityjson_path,pointcloud_path,z_shift_to_reference_m,missing_count,missing_examples,note
raw_sparse,raw_sparse,present,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/building_reconstruction_status.csv,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/cityjson/raw_sparse_roofer.city.json,phases/p0-audit/runs/e5p_baseline_sparse_20260706_002300/classified/raw_sparse_classified.laz,-45.7000,0,,
raw_dense,raw_dense,present,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,0.0000,0,,
raw_acmp,raw_acmp,present,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/building_reconstruction_status.csv,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/cityjson/raw_acmp_roofer.city.json,phases/p0-audit/runs/e5p_baseline_acmp_20260706_001813/classified/raw_acmp_classified.laz,-45.7000,0,,
gs_sparse_r1,gs_sparse,present,phases/p0-audit/runs/e5p_gate_20260707_C001/building_reconstruction_status.csv,phases/p0-audit/runs/e5p_gate_20260707_C001/cityjson/gs_e5_C001_sparse_r1_run_1.city.json,phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r1/run_1/{bid}_run_1_classified.las,-45.7000,0,,
gs_sparse_r2,gs_sparse,present,phases/p0-audit/runs/e5p_gate_20260707_C001/building_reconstruction_status.csv,phases/p0-audit/runs/e5p_gate_20260707_C001/cityjson/gs_e5_C001_sparse_r2_run_1.city.json,phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_sparse_r2/run_1/{bid}_run_1_classified.las,-45.7000,0,,
gs_dense_r1,gs_dense,present,phases/p0-audit/runs/e5p_gate_20260707_C001/building_reconstruction_status.csv,phases/p0-audit/runs/e5p_gate_20260707_C001/cityjson/gs_e5_C001_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_dense_r1/run_1/{bid}_run_1_classified.las,-45.7000,0,,
gs_dense_r2,gs_dense,present,phases/p0-audit/runs/e5p_gate_20260707_C001/building_reconstruction_status.csv,phases/p0-audit/runs/e5p_gate_20260707_C001/cityjson/gs_e5_C001_dense_r2_run_1.city.json,phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_dense_r2/run_1/{bid}_run_1_classified.las,-45.7000,0,,
gs_acmp_r1,gs_acmp,present,phases/p0-audit/runs/e5p_gate_20260707_C001/building_reconstruction_status.csv,phases/p0-audit/runs/e5p_gate_20260707_C001/cityjson/gs_e5_C001_acmp_r1_run_1.city.json,phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_acmp_r1/run_1/{bid}_run_1_classified.las,-45.7000,0,,
gs_acmp_r2,gs_acmp,present,phases/p0-audit/runs/e5p_gate_20260707_C001/building_reconstruction_status.csv,phases/p0-audit/runs/e5p_gate_20260707_C001/cityjson/gs_e5_C001_acmp_r2_run_1.city.json,phases/p0-audit/runs/e5p_gate_20260707_C001/roofer/gs_e5_C001_acmp_r2/run_1/{bid}_run_1_classified.las,-45.7000,0,,
lidar,lidar,present,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz,0.0000,0,,완전측량 기준선
reference,reference,present,,phases/p0-audit/data/raw/lod2/*.gml,,0.0000,,,LoD2 reference RoofSurface count and shape
