row_type,building_id,pair_rank,view_a,view_b,address_support_a,address_support_b,crop_box_a_xyxy,crop_box_b_xyxy,known_colmap_baseline_m,baseline_class,reciprocal_match_count,border_match_count,dlt_finite_count,cheirality_pass_count,reprojection_pass_count,reprojection_pass_rate,reprojection_error_median_px,reconstructed_candidate_count,footprint_inside_count,roof_candidate_count,abs_delta_z_median_m,abs_delta_z_within_pair_mad_m,abs_delta_z_within_pair_std_m,abs_delta_z_across_pair_mad_m,footprint_outside_count,footprint_outside_rate,old_footprint_inside_count,old_roof_candidate_count,old_abs_delta_z_median_m,old_footprint_outside_rate,old_status,origin_separation_class,ground_z_q10_local_m,reference_roof_z_local_m,selected_pair_count,completed_pair_count,nondegenerate_completed_pair_count,status,failure_reason,pair_elapsed_s,pair_time_limit_s,building_elapsed_s,building_time_limit_s,view_pair_selection_rule,match_rule,triangulation_rule,score_rule,gt_role,learning_runs_started
view_pair,DEBY_LOD2_4907199,1,DJI_20241217095441_0023_D,DJI_20241217095531_0048_D,35597,2402,0;773;320;1013,1107;821;1363;1013,54.491666,nondegenerate_baseline_gt_0.06m,651,538,538,538,538,1.000000,0.081066,538,373,0,,,,,165,0.306691,2,0,,0.968750,pass,still_bad_after_fixed_pose_retriangulation,-27.521000,-34.333000,,,,pass,,0.889610,600,,7200,"all locked P-J/P-L visible-view combinations; sort by minimum frozen address support desc, then sum desc, stems asc; cap 10",MASt3R reciprocal descriptor NN stride8; 3px crop border; raw 2D only,"crop pixels inverted to source pixels without half-pixel shift; float64 linear DLT with fixed COLMAP K,R,t; both depths >0; max(each-view source-pixel reprojection error)<=2.0px",after DLT only: footprint containment; roof z>=observed ground q10+1.5m; LoD2 abs z error,footprint and LoD2 roof z used only after fixed-pose DLT for scoring/overlay,0
view_pair,DEBY_LOD2_4907199,2,DJI_20241217095145_0079_D,DJI_20241217095441_0023_D,612,35597,0;435;256;627,0;773;320;1013,87.474074,nondegenerate_baseline_gt_0.06m,69,39,39,39,0,0.000000,,0,0,0,,,,,0,,0,0,,1.000000,pass,still_bad_after_fixed_pose_retriangulation,-27.521000,-34.333000,,,,pass,,0.357763,600,,7200,"all locked P-J/P-L visible-view combinations; sort by minimum frozen address support desc, then sum desc, stems asc; cap 10",MASt3R reciprocal descriptor NN stride8; 3px crop border; raw 2D only,"crop pixels inverted to source pixels without half-pixel shift; float64 linear DLT with fixed COLMAP K,R,t; both depths >0; max(each-view source-pixel reprojection error)<=2.0px",after DLT only: footprint containment; roof z>=observed ground q10+1.5m; LoD2 abs z error,footprint and LoD2 roof z used only after fixed-pose DLT for scoring/overlay,0
view_pair,DEBY_LOD2_4907199,3,DJI_20241217095145_0079_D,DJI_20241217095531_0048_D,612,2402,0;435;256;627,1107;821;1363;1013,135.118101,nondegenerate_baseline_gt_0.06m,146,95,95,95,0,0.000000,,0,0,0,,,,,0,,0,0,,1.000000,pass,still_bad_after_fixed_pose_retriangulation,-27.521000,-34.333000,,,,pass,,0.354042,600,,7200,"all locked P-J/P-L visible-view combinations; sort by minimum frozen address support desc, then sum desc, stems asc; cap 10",MASt3R reciprocal descriptor NN stride8; 3px crop border; raw 2D only,"crop pixels inverted to source pixels without half-pixel shift; float64 linear DLT with fixed COLMAP K,R,t; both depths >0; max(each-view source-pixel reprojection error)<=2.0px",after DLT only: footprint containment; roof z>=observed ground q10+1.5m; LoD2 abs z error,footprint and LoD2 roof z used only after fixed-pose DLT for scoring/overlay,0
view_pair,DEBY_LOD2_4907199,4,DJI_20241217095149_0081_D,DJI_20241217095441_0023_D,607,35597,0;434;256;626,0;773;320;1013,87.451028,nondegenerate_baseline_gt_0.06m,73,46,46,46,0,0.000000,,0,0,0,,,,,0,,0,0,,1.000000,pass,still_bad_after_fixed_pose_retriangulation,-27.521000,-34.333000,,,,pass,,0.353729,600,,7200,"all locked P-J/P-L visible-view combinations; sort by minimum frozen address support desc, then sum desc, stems asc; cap 10",MASt3R reciprocal descriptor NN stride8; 3px crop border; raw 2D only,"crop pixels inverted to source pixels without half-pixel shift; float64 linear DLT with fixed COLMAP K,R,t; both depths >0; max(each-view source-pixel reprojection error)<=2.0px",after DLT only: footprint containment; roof z>=observed ground q10+1.5m; LoD2 abs z error,footprint and LoD2 roof z used only after fixed-pose DLT for scoring/overlay,0
view_pair,DEBY_LOD2_4907199,5,DJI_20241217095149_0081_D,DJI_20241217095531_0048_D,607,2402,0;434;256;626,1107;821;1363;1013,135.108209,nondegenerate_baseline_gt_0.06m,140,114,114,114,0,0.000000,,0,0,0,,,,,0,,0,0,,1.000000,pass,still_bad_after_fixed_pose_retriangulation,-27.521000,-34.333000,,,,pass,,0.334581,600,,7200,"all locked P-J/P-L visible-view combinations; sort by minimum frozen address support desc, then sum desc, stems asc; cap 10",MASt3R reciprocal descriptor NN stride8; 3px crop border; raw 2D only,"crop pixels inverted to source pixels without half-pixel shift; float64 linear DLT with fixed COLMAP K,R,t; both depths >0; max(each-view source-pixel reprojection error)<=2.0px",after DLT only: footprint containment; roof z>=observed ground q10+1.5m; LoD2 abs z error,footprint and LoD2 roof z used only after fixed-pose DLT for scoring/overlay,0
view_pair,DEBY_LOD2_4907199,6,DJI_20241217095145_0079_D,DJI_20241217095149_0081_D,612,607,0;435;256;627,0;434;256;626,0.057419,same_strip_degenerate_baseline_le_0.06m,3072,3023,3023,3023,3023,1.000000,0.066775,3023,17,17,10.844948,0.828575,1.159064,,3006,0.994376,0,0,,1.000000,pass,baseline_degenerate_excluded,-27.521000,-34.333000,,,,pass,,0.345128,600,,7200,"all locked P-J/P-L visible-view combinations; sort by minimum frozen address support desc, then sum desc, stems asc; cap 10",MASt3R reciprocal descriptor NN stride8; 3px crop border; raw 2D only,"crop pixels inverted to source pixels without half-pixel shift; float64 linear DLT with fixed COLMAP K,R,t; both depths >0; max(each-view source-pixel reprojection error)<=2.0px",after DLT only: footprint containment; roof z>=observed ground q10+1.5m; LoD2 abs z error,footprint and LoD2 roof z used only after fixed-pose DLT for scoring/overlay,0
view_pair,DEBY_LOD2_4907199,7,DJI_20241217095147_0080_D,DJI_20241217095441_0023_D,603,35597,0;434;256;626,0;773;320;1013,87.494419,nondegenerate_baseline_gt_0.06m,66,26,26,26,0,0.000000,,0,0,0,,,,,0,,0,0,,1.000000,pass,still_bad_after_fixed_pose_retriangulation,-27.521000,-34.333000,,,,pass,,0.326928,600,,7200,"all locked P-J/P-L visible-view combinations; sort by minimum frozen address support desc, then sum desc, stems asc; cap 10",MASt3R reciprocal descriptor NN stride8; 3px crop border; raw 2D only,"crop pixels inverted to source pixels without half-pixel shift; float64 linear DLT with fixed COLMAP K,R,t; both depths >0; max(each-view source-pixel reprojection error)<=2.0px",after DLT only: footprint containment; roof z>=observed ground q10+1.5m; LoD2 abs z error,footprint and LoD2 roof z used only after fixed-pose DLT for scoring/overlay,0
view_pair,DEBY_LOD2_4907199,8,DJI_20241217095147_0080_D,DJI_20241217095531_0048_D,603,2402,0;434;256;626,1107;821;1363;1013,135.143828,nondegenerate_baseline_gt_0.06m,162,124,124,124,0,0.000000,,0,0,0,,,,,0,,0,0,,1.000000,pass,still_bad_after_fixed_pose_retriangulation,-27.521000,-34.333000,,,,pass,,0.337918,600,,7200,"all locked P-J/P-L visible-view combinations; sort by minimum frozen address support desc, then sum desc, stems asc; cap 10",MASt3R reciprocal descriptor NN stride8; 3px crop border; raw 2D only,"crop pixels inverted to source pixels without half-pixel shift; float64 linear DLT with fixed COLMAP K,R,t; both depths >0; max(each-view source-pixel reprojection error)<=2.0px",after DLT only: footprint containment; roof z>=observed ground q10+1.5m; LoD2 abs z error,footprint and LoD2 roof z used only after fixed-pose DLT for scoring/overlay,0
view_pair,DEBY_LOD2_4907199,9,DJI_20241217095145_0079_D,DJI_20241217095147_0080_D,612,603,0;435;256;627,0;434;256;626,0.032560,same_strip_degenerate_baseline_le_0.06m,3072,3024,3024,3001,3001,0.992394,0.044025,3001,125,80,10.457425,1.131419,1.429632,,2876,0.958347,0,0,,1.000000,pass,baseline_degenerate_excluded,-27.521000,-34.333000,,,,pass,,0.342623,600,,7200,"all locked P-J/P-L visible-view combinations; sort by minimum frozen address support desc, then sum desc, stems asc; cap 10",MASt3R reciprocal descriptor NN stride8; 3px crop border; raw 2D only,"crop pixels inverted to source pixels without half-pixel shift; float64 linear DLT with fixed COLMAP K,R,t; both depths >0; max(each-view source-pixel reprojection error)<=2.0px",after DLT only: footprint containment; roof z>=observed ground q10+1.5m; LoD2 abs z error,footprint and LoD2 roof z used only after fixed-pose DLT for scoring/overlay,0
view_pair,DEBY_LOD2_4907199,10,DJI_20241217095147_0080_D,DJI_20241217095149_0081_D,603,607,0;434;256;626,0;434;256;626,0.051219,same_strip_degenerate_baseline_le_0.06m,3072,3015,3015,2986,2986,0.990381,0.067600,2986,0,0,,,,,2986,1.000000,0,0,,1.000000,pass,baseline_degenerate_excluded,-27.521000,-34.333000,,,,pass,,0.344153,600,,7200,"all locked P-J/P-L visible-view combinations; sort by minimum frozen address support desc, then sum desc, stems asc; cap 10",MASt3R reciprocal descriptor NN stride8; 3px crop border; raw 2D only,"crop pixels inverted to source pixels without half-pixel shift; float64 linear DLT with fixed COLMAP K,R,t; both depths >0; max(each-view source-pixel reprojection error)<=2.0px",after DLT only: footprint containment; roof z>=observed ground q10+1.5m; LoD2 abs z error,footprint and LoD2 roof z used only after fixed-pose DLT for scoring/overlay,0
