setting,A8_legacy_terrain_off,A8_v2_geo,match_or_expected_delta
w_mutual,0.1,0.10015521722275758,expected_delta_kappa_geo
mutual_warmup,10000,10000,match
mutual_schedule,constant,constant,match
mutual_ramp_steps,0,0,match
mutual_mode,full,sem2geo,expected_delta_probability_detach
mutual_tau,0.15,0.15,match
mutual_height_th,0.15,0.15,match
wall_verticality,True,True,match
roof_nonwall_prior,True,True,match
terrain_normal,False,False,match
terrain_height,False,False,match
roof_side_height,True,True,match
terrain_side_height,False,False,match
alpha_wall,1.0,1.0,match
alpha_roof,1.0,1.0,match
alpha_height,1.0,1.0,match
roof_wall_relation,False,False,match
terrain_wall_relation,False,False,match
w_structure,0.0,0.0,match
gravity_file,results/phase2_synthesis/gravity.json,results/phase2_synthesis/gravity.json,match
max_iter,12000,12000,match
seed,0,0,match
