row_type,building_id,view_stem,view,address_support,oracle_visible_support,roof_surface_count,roof_area_m2,footprint_roof_xy_symmetric_difference_m2,roof_full_projected_area_px,roof_clipped_area_px,safe_perimeter_fraction,projected_bbox_xyxy,view_quality_class,view_votes_for_building,configured_anchor_view,registration_class,registration_class_ko,registration_observation,status,projection_rule,gt_role,learning_runs_started,new_mast3r_inference_runs,visible_view_count,reviewable_view_count,anchor_view_count
view,DEBY_LOD2_4907199,DJI_20241217095141_0077_D,DJI_20241217095141_0077_D.JPG,60,60,1,98.346450,0.000000,2365.201688,2161.329323,0.735644,-31.359000;535.039900;116.445889;570.292849,reviewable_nonanchor,no,MULTIVIEW_CONSENSUS,seated,앉음,09:51 사선 4뷰와 09:54 정사 0023에서 RoofSurface 외곽이 같은 낮은 지붕 패치에 겹침; 0048은 frame-clipped로 투표 제외,measured,actual LoD2 roof/ground XYZ -> local with geoid 45.7 -> fixed COLMAP K[R|t],registration QA/overlay only,0,0,,,
view,DEBY_LOD2_4907199,DJI_20241217095145_0079_D,DJI_20241217095145_0079_D.JPG,612,612,1,98.346450,0.000000,2365.733553,2321.662112,0.847410,-14.403807;534.030497;131.384317;569.070243,reviewable_nonanchor,no,MULTIVIEW_CONSENSUS,seated,앉음,09:51 사선 4뷰와 09:54 정사 0023에서 RoofSurface 외곽이 같은 낮은 지붕 패치에 겹침; 0048은 frame-clipped로 투표 제외,measured,actual LoD2 roof/ground XYZ -> local with geoid 45.7 -> fixed COLMAP K[R|t],registration QA/overlay only,0,0,,,
view,DEBY_LOD2_4907199,DJI_20241217095147_0080_D,DJI_20241217095147_0080_D.JPG,603,603,1,98.346450,0.000000,2368.078061,2316.600640,0.839588,-15.576130;533.101875;130.365151;567.983097,reviewable_nonanchor,no,MULTIVIEW_CONSENSUS,seated,앉음,09:51 사선 4뷰와 09:54 정사 0023에서 RoofSurface 외곽이 같은 낮은 지붕 패치에 겹침; 0048은 frame-clipped로 투표 제외,measured,actual LoD2 roof/ground XYZ -> local with geoid 45.7 -> fixed COLMAP K[R|t],registration QA/overlay only,0,0,,,
view,DEBY_LOD2_4907199,DJI_20241217095149_0081_D,DJI_20241217095149_0081_D.JPG,607,607,1,98.346450,0.000000,2374.851090,2314.424821,0.830988,-16.879513;532.711340;129.295140;567.525721,reviewable_nonanchor,no,MULTIVIEW_CONSENSUS,seated,앉음,09:51 사선 4뷰와 09:54 정사 0023에서 RoofSurface 외곽이 같은 낮은 지붕 패치에 겹침; 0048은 frame-clipped로 투표 제외,measured,actual LoD2 roof/ground XYZ -> local with geoid 45.7 -> fixed COLMAP K[R|t],registration QA/overlay only,0,0,,,
view,DEBY_LOD2_4907199,DJI_20241217095441_0023_D,DJI_20241217095441_0023_D.JPG,35597,35597,1,98.346450,0.000000,51087.074602,44582.168217,0.704396,-51.308215;830.998391;273.065655;1006.459476,reviewable_nonanchor,no,MULTIVIEW_CONSENSUS,seated,앉음,09:51 사선 4뷰와 09:54 정사 0023에서 RoofSurface 외곽이 같은 낮은 지붕 패치에 겹침; 0048은 frame-clipped로 투표 제외,measured,actual LoD2 roof/ground XYZ -> local with geoid 45.7 -> fixed COLMAP K[R|t],registration QA/overlay only,0,0,,,
view,DEBY_LOD2_4907199,DJI_20241217095531_0048_D,DJI_20241217095531_0048_D.JPG,2402,2402,1,98.346450,0.000000,54720.996209,8919.231262,0.182016,1227.562152;935.942510;1555.780758;1119.551196,frame_clipped_or_too_small,no,MULTIVIEW_CONSENSUS,seated,앉음,09:51 사선 4뷰와 09:54 정사 0023에서 RoofSurface 외곽이 같은 낮은 지붕 패치에 겹침; 0048은 frame-clipped로 투표 제외,measured,actual LoD2 roof/ground XYZ -> local with geoid 45.7 -> fixed COLMAP K[R|t],registration QA/overlay only,0,0,,,
building_summary,DEBY_LOD2_4907199,BUILDING,,,,1,98.346450,0.000000,,,,,anchor_review_summary,,MULTIVIEW_CONSENSUS,seated,앉음,09:51 사선 4뷰와 09:54 정사 0023에서 RoofSurface 외곽이 같은 낮은 지붕 패치에 겹침; 0048은 frame-clipped로 투표 제외,registration_reviewed,actual LoD2 roof/ground XYZ -> local with geoid 45.7 -> fixed COLMAP K[R|t],registration QA/overlay only,0,0,6,5,0
view,DEBY_LOD2_8568391,DJI_20241217084901_0194_D,DJI_20241217084901_0194_D.JPG,2140,2335,1,55.535700,0.000000,8666.289171,6146.145417,0.593910,1304.348192;44.307150;1443.357970;139.661415,frame_clipped_or_too_small,no,DJI_20241217095441_0023_D,seated,앉음,0023 완전 앵커가 골함석 지붕 외곽에 앉음; 0195 투영 대상은 주황 기와가 아니라 우측 끝 어두운 골함석이며 외곽 44.0%만 보여 투표 제외,measured,actual LoD2 roof/ground XYZ -> local with geoid 45.7 -> fixed COLMAP K[R|t],registration QA/overlay only,0,0,,,
view,DEBY_LOD2_8568391,DJI_20241217084903_0195_D,DJI_20241217084903_0195_D.JPG,622,622,1,55.535700,0.000000,8712.557418,4111.776661,0.439784,1333.536544;164.107347;1472.815661;259.725557,frame_clipped_or_too_small,no,DJI_20241217095441_0023_D,seated,앉음,0023 완전 앵커가 골함석 지붕 외곽에 앉음; 0195 투영 대상은 주황 기와가 아니라 우측 끝 어두운 골함석이며 외곽 44.0%만 보여 투표 제외,measured,actual LoD2 roof/ground XYZ -> local with geoid 45.7 -> fixed COLMAP K[R|t],registration QA/overlay only,0,0,,,
view,DEBY_LOD2_8568391,DJI_20241217095441_0023_D,DJI_20241217095441_0023_D.JPG,20782,22412,1,55.535700,0.000000,22988.853478,22988.853478,1.000000,736.376386;586.792123;854.495477;791.682253,anchor,yes,DJI_20241217095441_0023_D,seated,앉음,0023 완전 앵커가 골함석 지붕 외곽에 앉음; 0195 투영 대상은 주황 기와가 아니라 우측 끝 어두운 골함석이며 외곽 44.0%만 보여 투표 제외,measured,actual LoD2 roof/ground XYZ -> local with geoid 45.7 -> fixed COLMAP K[R|t],registration QA/overlay only,0,0,,,
