family,run_name,arm,step,ckpt,building_id,n_gaussians_in_footprint,z_p50,z_std,opacity_p50,opacity_p05,opacity_p95
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,15000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_015000.pt,DEBY_LOD2_4908168,0,,,,,
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,15000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_015000.pt,DEBY_LOD2_4907184,7323,581.9628,2.5451,0.1000,0.0979,0.1000
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,20000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4907202,5,575.6646,0.3482,0.9341,0.6661,0.9938
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,20000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4908178,6,570.1224,3.4324,0.5064,0.1482,0.6333
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,20000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4908168,0,,,,,
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,20000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4907184,7500,582.0484,2.3996,0.7565,0.0979,0.9711
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,25000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_025000.pt,DEBY_LOD2_4907202,5,575.6531,0.3303,0.5905,0.3431,0.8461
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,25000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_025000.pt,DEBY_LOD2_4908178,6,570.1202,3.4446,0.0273,0.0041,0.4774
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,25000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_025000.pt,DEBY_LOD2_4908168,0,,,,,
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,25000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/step_025000.pt,DEBY_LOD2_4907184,7502,582.0139,2.3958,0.9310,0.0832,0.9975
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,30000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt,DEBY_LOD2_4907202,5,575.6246,0.3235,0.5699,0.3804,0.9064
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,30000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt,DEBY_LOD2_4908178,6,570.1326,3.4571,0.0051,0.0038,0.4158
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,30000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt,DEBY_LOD2_4908168,0,,,,,
corrected_recheck,gs_e5_C001_corrected_s1_preprune_dense_r1,dense,30000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt,DEBY_LOD2_4907184,7494,581.9096,2.3861,0.9761,0.0719,0.9994
corrected_recheck,gs_e5_C001_corrected_s1_preprune_sparse_r1,sparse,5000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/step_005000.pt,DEBY_LOD2_4907202,230,603.0149,20.2838,0.2110,0.0588,0.9263
corrected_recheck,gs_e5_C001_corrected_s1_preprune_sparse_r1,sparse,10000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/step_010000.pt,DEBY_LOD2_4907202,117,605.5825,12.7518,0.1236,0.0509,0.8971
corrected_recheck,gs_e5_C001_corrected_s1_preprune_sparse_r1,sparse,15000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/step_015000.pt,DEBY_LOD2_4907202,163,603.4417,5.6628,0.1000,0.0833,0.1000
corrected_recheck,gs_e5_C001_corrected_s1_preprune_sparse_r1,sparse,20000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/step_020000.pt,DEBY_LOD2_4907202,209,605.1030,8.2998,0.8819,0.0862,0.9982
corrected_recheck,gs_e5_C001_corrected_s1_preprune_sparse_r1,sparse,25000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/step_025000.pt,DEBY_LOD2_4907202,208,605.1430,8.3221,0.9788,0.0215,0.9995
corrected_recheck,gs_e5_C001_corrected_s1_preprune_sparse_r1,sparse,30000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt,DEBY_LOD2_4907202,196,605.2210,8.5404,0.9952,0.0136,0.9999
corrected_recheck,gs_e5_C001_corrected_s1_preprune_acmp_r1,acmp,5000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_acmp_r1/ckpt/step_005000.pt,DEBY_LOD2_4907202,612,567.5131,16.4949,0.2459,0.0639,0.9956
corrected_recheck,gs_e5_C001_corrected_s1_preprune_acmp_r1,acmp,10000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_acmp_r1/ckpt/step_010000.pt,DEBY_LOD2_4907202,541,601.3684,6.8037,0.5787,0.0843,0.9419
corrected_recheck,gs_e5_C001_corrected_s1_preprune_acmp_r1,acmp,15000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_acmp_r1/ckpt/step_015000.pt,DEBY_LOD2_4907202,481,601.6213,5.9467,0.1000,0.1000,0.1000
corrected_recheck,gs_e5_C001_corrected_s1_preprune_acmp_r1,acmp,20000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_acmp_r1/ckpt/step_020000.pt,DEBY_LOD2_4907202,414,601.6792,6.5273,0.8766,0.1257,0.9942
corrected_recheck,gs_e5_C001_corrected_s1_preprune_acmp_r1,acmp,25000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_acmp_r1/ckpt/step_025000.pt,DEBY_LOD2_4907202,413,601.6370,6.5206,0.9728,0.0319,0.9990
corrected_recheck,gs_e5_C001_corrected_s1_preprune_acmp_r1,acmp,30000,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_acmp_r1/ckpt/final.pt,DEBY_LOD2_4907202,416,601.6563,6.5015,0.9900,0.0434,0.9997
corrected_original,gs_e5_C001_corrected_s1_dense_r1,dense,10000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4907202,17,574.9206,3.7659,0.7213,0.2546,0.9384
corrected_original,gs_e5_C001_corrected_s1_dense_r1,dense,10000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4908178,0,,,,,
corrected_original,gs_e5_C001_corrected_s1_dense_r1,dense,10000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4908168,22,646.8428,5.8196,0.2986,0.0746,0.4755
corrected_original,gs_e5_C001_corrected_s1_dense_r1,dense,10000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4907184,7272,582.0787,6.7620,0.6626,0.1009,0.9601
corrected_original,gs_e5_C001_corrected_s1_dense_r1,dense,20000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4907202,13,577.2327,15.5321,0.8433,0.2329,0.9968
corrected_original,gs_e5_C001_corrected_s1_dense_r1,dense,20000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4908178,30,615.3347,28.7313,0.1300,0.0350,0.5066
corrected_original,gs_e5_C001_corrected_s1_dense_r1,dense,20000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4908168,70,656.5110,30.6936,0.1634,0.0577,0.6182
corrected_original,gs_e5_C001_corrected_s1_dense_r1,dense,20000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4907184,7795,582.2528,5.8631,0.7312,0.0924,0.9706
corrected_original,gs_e5_C001_corrected_s1_dense_r1,dense,30000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt,DEBY_LOD2_4907202,10,576.4144,1.1172,0.8972,0.1183,0.9996
corrected_original,gs_e5_C001_corrected_s1_dense_r1,dense,30000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt,DEBY_LOD2_4908178,6,561.3194,21.6471,0.3434,0.1239,0.8650
corrected_original,gs_e5_C001_corrected_s1_dense_r1,dense,30000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt,DEBY_LOD2_4908168,31,657.9312,25.9949,0.0949,0.0601,0.3064
corrected_original,gs_e5_C001_corrected_s1_dense_r1,dense,30000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt,DEBY_LOD2_4907184,7396,582.0406,5.2734,0.9804,0.1503,0.9994
corrected_original,gs_e5_C001_corrected_s1_sparse_r1,sparse,10000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/step_010000.pt,DEBY_LOD2_4907202,21,568.1284,4.0457,0.7753,0.2100,0.9639
corrected_original,gs_e5_C001_corrected_s1_sparse_r1,sparse,20000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/step_020000.pt,DEBY_LOD2_4907202,136,602.9025,7.3356,0.9893,0.0651,0.9987
corrected_original,gs_e5_C001_corrected_s1_sparse_r1,sparse,30000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt,DEBY_LOD2_4907202,111,602.6403,6.4832,0.9990,0.3298,0.9999
corrected_original,gs_e5_C001_corrected_s1_acmp_r1,acmp,10000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_acmp_r1/ckpt/step_010000.pt,DEBY_LOD2_4907202,105,606.2098,17.8730,0.7451,0.0665,0.9984
corrected_original,gs_e5_C001_corrected_s1_acmp_r1,acmp,20000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_acmp_r1/ckpt/step_020000.pt,DEBY_LOD2_4907202,88,604.8667,14.9703,0.9614,0.1579,0.9991
corrected_original,gs_e5_C001_corrected_s1_acmp_r1,acmp,30000,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_acmp_r1/ckpt/final.pt,DEBY_LOD2_4907202,83,604.9886,10.8307,0.9980,0.5469,0.9999
s1_original,gs_e5_C001_s1_dense_r1,dense,10000,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4907202,1085,567.2562,9.5123,0.0461,0.0020,0.8083
s1_original,gs_e5_C001_s1_dense_r1,dense,10000,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4908178,437,564.5390,11.2634,0.0659,0.0028,0.7736
s1_original,gs_e5_C001_s1_dense_r1,dense,10000,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4908168,100,566.0091,2.1460,0.1681,0.0018,0.7941
s1_original,gs_e5_C001_s1_dense_r1,dense,10000,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/step_010000.pt,DEBY_LOD2_4907184,19500,582.5325,6.0385,0.0601,0.0031,0.8841
s1_original,gs_e5_C001_s1_dense_r1,dense,20000,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4907202,1183,567.2512,12.9070,0.1618,0.0020,0.9337
s1_original,gs_e5_C001_s1_dense_r1,dense,20000,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4908178,414,564.3624,4.3976,0.2265,0.0027,0.8458
s1_original,gs_e5_C001_s1_dense_r1,dense,20000,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4908168,101,566.0435,2.0597,0.2499,0.0020,0.8526
s1_original,gs_e5_C001_s1_dense_r1,dense,20000,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/step_020000.pt,DEBY_LOD2_4907184,23475,582.6351,6.1315,0.0544,0.0032,0.9065
s1_original,gs_e5_C001_s1_dense_r1,dense,30000,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/final.pt,DEBY_LOD2_4907202,1188,567.0390,13.1149,0.0855,0.0020,0.9954
s1_original,gs_e5_C001_s1_dense_r1,dense,30000,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/final.pt,DEBY_LOD2_4908178,416,564.2232,5.2741,0.2495,0.0028,0.9937
s1_original,gs_e5_C001_s1_dense_r1,dense,30000,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/final.pt,DEBY_LOD2_4908168,102,566.2634,1.8722,0.4706,0.0021,0.9944
s1_original,gs_e5_C001_s1_dense_r1,dense,30000,results/tum_transfer/e5_3b_s1/C001/runs/gs_e5_C001_s1_dense_r1/ckpt/final.pt,DEBY_LOD2_4907184,23969,581.6657,6.0782,0.0355,0.0032,0.9959
