building_id,input,ref_roof_planes,pred_roof_planes,matched_planes,matched_plane_pairs,shared_pair_count,ref_internal_length_m,pred_internal_length_m,ref_internal_samples,pred_internal_samples,internal_boundary_chamfer_m,internal_boundary_hausdorff_m
DEBY_LOD2_108246888,als,4,2,1,0,0,0,0,0,0,,
DEBY_LOD2_108246888,dim,4,2,1,0,0,0,0,0,0,,
DEBY_LOD2_108580335,als,9,15,7,21,13,95.510735,113.175891,211,248,0.457559,5.859398
DEBY_LOD2_108580335,dim,9,24,6,15,5,51.470992,53.422706,113,119,0.504076,4.013252
DEBY_LOD2_42364657,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_42364657,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_42364663,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_42364663,dim,1,1,0,0,0,0,0,0,0,,
DEBY_LOD2_42364665,als,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_42364665,dim,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_42364667,als,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_42364667,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4906966,als,6,10,5,10,7,102.604618,102.896133,213,227,1.079743,2.824177
DEBY_LOD2_4906966,dim,6,12,4,6,3,25.848386,30.480669,56,77,0.394167,1.457611
DEBY_LOD2_4906970,als,2,6,2,1,1,12.521381,10.160780,27,22,0.452805,1.311455
DEBY_LOD2_4906970,dim,2,5,2,1,1,12.521381,10.704513,27,23,0.502109,1.064335
DEBY_LOD2_4906972,als,3,3,3,3,2,36.931778,36.934382,77,77,0.104129,0.178639
DEBY_LOD2_4906972,dim,3,3,3,3,2,36.931778,37.335501,77,83,0.189673,0.578411
DEBY_LOD2_4906973,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4906973,dim,1,3,1,0,0,0,0,0,0,,
DEBY_LOD2_4906974,als,3,2,2,1,1,26.840760,28.741445,55,59,0.483034,1.955589
DEBY_LOD2_4906974,dim,3,4,2,1,1,26.840760,29.044773,55,64,0.341880,2.410702
DEBY_LOD2_4906976,als,3,4,3,3,3,31.865453,29.398126,68,63,0.283938,2.323019
DEBY_LOD2_4906976,dim,3,4,3,3,3,31.865453,26.561258,68,57,0.435652,5.123325
DEBY_LOD2_4906977,als,4,7,4,6,4,12.676903,37.034843,30,83,3.185043,21.159774
DEBY_LOD2_4906977,dim,4,7,3,3,2,3.607560,20.782923,9,43,16.703725,31.311200
DEBY_LOD2_4906980,als,1,3,1,0,0,0,0,0,0,,
DEBY_LOD2_4906980,dim,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4906981,als,7,12,5,10,5,100.588803,69.435403,209,147,1.097774,13.400316
DEBY_LOD2_4906981,dim,7,13,4,6,5,100.588803,75.765005,209,174,1.222343,13.464444
DEBY_LOD2_4906982,als,3,7,2,1,1,0,6.942975,0,23,,
DEBY_LOD2_4906982,dim,3,11,2,1,0,0,0,0,0,,
DEBY_LOD2_4906983,als,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4906983,dim,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4906984,als,4,3,3,3,2,12.368246,24.733036,26,52,3.555730,13.509769
DEBY_LOD2_4906984,dim,4,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4906986,als,5,4,2,1,1,8.442062,11.559299,20,30,0.675442,2.142566
DEBY_LOD2_4906986,dim,5,4,2,1,0,0,0,0,0,,
DEBY_LOD2_4906987,als,5,2,0,0,0,0,0,0,0,,
DEBY_LOD2_4906987,dim,5,2,0,0,0,0,0,0,0,,
DEBY_LOD2_4906988,als,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4906988,dim,1,3,1,0,0,0,0,0,0,,
DEBY_LOD2_4906991,als,1,3,1,0,0,0,0,0,0,,
DEBY_LOD2_4906991,dim,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4907018,als,4,14,1,0,0,0,0,0,0,,
DEBY_LOD2_4907018,dim,4,13,1,0,0,0,0,0,0,,
DEBY_LOD2_4907020,als,2,2,2,1,1,27.382794,27.380126,56,56,0.020584,0.048754
DEBY_LOD2_4907020,dim,2,5,2,1,1,27.382794,17.313180,56,41,0.757958,5.359167
DEBY_LOD2_4907023,als,2,2,2,1,1,14.885912,14.885520,31,31,0.089970,0.137786
DEBY_LOD2_4907023,dim,2,2,2,1,1,14.885912,14.884412,31,31,0.117547,0.124788
DEBY_LOD2_4907024,als,2,2,2,1,1,23.876156,23.877525,49,49,0.028258,0.067231
DEBY_LOD2_4907024,dim,2,2,2,1,1,23.876156,24.028248,49,51,0.168568,0.577710
DEBY_LOD2_4907173,als,4,6,3,3,3,21.347981,22.116970,47,50,0.155497,0.995583
DEBY_LOD2_4907173,dim,4,10,4,6,4,48.242448,42.362304,106,110,0.729371,7.462119
DEBY_LOD2_4907179,als,3,8,2,1,1,11.554805,11.544861,25,25,0.343001,0.365329
DEBY_LOD2_4907179,dim,3,13,2,1,0,0,0,0,0,,
DEBY_LOD2_4907180,als,3,7,3,3,2,35.740704,35.964918,75,76,0.558579,1.470091
DEBY_LOD2_4907180,dim,3,9,2,1,1,22.649329,22.646747,47,47,0.038138,0.081597
DEBY_LOD2_4907183,als,2,7,2,1,1,25.868916,25.870458,53,53,0.039011,0.065552
DEBY_LOD2_4907183,dim,2,19,2,1,1,25.868916,26.542220,53,70,0.359440,1.430129
DEBY_LOD2_4907196,als,4,12,4,6,4,53.860124,51.233617,113,112,0.264265,1.420040
DEBY_LOD2_4907196,dim,4,7,4,6,5,53.860124,49.850219,113,116,0.356255,2.812339
DEBY_LOD2_4907201,als,3,4,3,3,3,23.114327,23.567270,49,54,0.333259,2.053365
DEBY_LOD2_4907201,dim,3,5,2,1,1,0,2.005878,0,6,,
DEBY_LOD2_4907204,als,2,6,2,1,1,20.075548,20.589025,42,46,0.246221,1.021374
DEBY_LOD2_4907204,dim,2,8,2,1,1,20.075548,20.361451,42,49,0.324357,1.114419
DEBY_LOD2_4907205,als,2,3,1,0,0,0,0,0,0,,
DEBY_LOD2_4907205,dim,2,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4907206,als,2,2,2,1,1,16.209614,16.246669,34,34,0.337042,0.458705
DEBY_LOD2_4907206,dim,2,2,2,1,1,16.209614,16.246343,34,34,0.366625,0.463113
DEBY_LOD2_4907207,als,8,7,6,15,9,47.221448,54.954655,103,133,0.706367,5.615325
DEBY_LOD2_4907207,dim,8,12,2,1,1,4.852676,6.581586,11,16,0.705398,1.624474
DEBY_LOD2_4907507,als,2,4,2,1,1,22.179765,22.176377,46,46,0.077864,0.180136
DEBY_LOD2_4907507,dim,2,3,2,1,1,22.179765,23.289523,46,58,0.319798,1.461331
DEBY_LOD2_4907509,als,7,8,5,10,5,17.230221,19.870900,40,56,0.705640,5.385116
DEBY_LOD2_4907509,dim,7,10,4,6,3,10.281231,16.948259,23,47,0.691954,3.655310
DEBY_LOD2_4907515,als,7,7,7,21,11,70.449166,66.322867,155,154,0.313582,1.146183
DEBY_LOD2_4907515,dim,7,8,6,15,10,48.402325,49.024570,107,130,0.383905,3.421667
DEBY_LOD2_4907516,als,7,5,4,6,4,13.239162,17.511017,30,50,0.400173,2.833643
DEBY_LOD2_4907516,dim,7,5,3,3,2,13.239162,13.687227,30,38,0.311605,0.976166
DEBY_LOD2_4907517,als,8,5,4,6,5,21.622022,34.822851,48,78,0.749167,4.366705
DEBY_LOD2_4907517,dim,8,6,5,10,6,21.622022,37.328948,48,91,0.854817,4.468656
DEBY_LOD2_4907518,als,12,4,4,6,5,43.197309,41.940175,94,95,0.660465,2.753815
DEBY_LOD2_4907518,dim,12,4,4,6,5,43.197309,41.233297,94,102,0.709770,2.763725
DEBY_LOD2_4907521,als,4,4,4,6,5,48.222091,47.266898,104,103,0.238522,0.692815
DEBY_LOD2_4907521,dim,4,7,4,6,5,48.222091,45.912984,104,118,0.444993,1.976358
DEBY_LOD2_4908023,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908023,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908024,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908024,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908025,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908025,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908026,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908026,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908027,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908027,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908028,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908028,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908352,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908352,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4908353,als,2,3,2,1,1,16.666888,16.634425,35,35,1.153136,1.319765
DEBY_LOD2_4908353,dim,2,5,2,1,1,16.666888,16.663697,35,35,0.135948,0.238296
DEBY_LOD2_4959322,als,2,2,2,1,1,26.958904,26.957497,55,55,0.345675,0.525709
DEBY_LOD2_4959322,dim,2,2,2,1,1,26.958904,26.957572,55,55,0.328406,0.542795
DEBY_LOD2_4959323,als,6,9,5,10,6,107.480530,102.532176,223,214,0.224652,5.993352
DEBY_LOD2_4959323,dim,6,8,5,10,6,107.480530,101.659108,223,220,0.227866,5.537249
DEBY_LOD2_4959324,als,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4959324,dim,1,2,0,0,0,0,0,0,0,,
DEBY_LOD2_4959325,als,11,9,7,21,13,173.620556,165.114782,374,361,0.392269,3.529332
DEBY_LOD2_4959325,dim,11,20,7,21,11,137.447908,105.226774,297,249,0.486698,2.572370
DEBY_LOD2_4959327,als,6,8,6,15,8,72.781471,71.748449,155,161,0.515802,1.456505
DEBY_LOD2_4959327,dim,6,8,6,15,8,72.781471,71.688838,155,165,0.588361,1.615294
DEBY_LOD2_4959336,als,6,9,6,15,9,116.266265,111.665066,245,254,0.413417,1.978128
DEBY_LOD2_4959336,dim,6,9,5,10,8,55.777161,80.234418,118,203,2.395039,10.833243
DEBY_LOD2_4959340,als,3,3,3,3,3,43.669494,43.412946,92,95,0.233688,1.421873
DEBY_LOD2_4959340,dim,3,3,3,3,3,43.669494,43.878625,92,97,0.277301,1.045111
DEBY_LOD2_4959457,als,2,2,2,1,1,58.687175,57.940725,122,121,0.216833,0.347109
DEBY_LOD2_4959457,dim,2,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4959458,als,2,3,2,1,1,42.136673,42.136591,86,86,0.067417,0.102883
DEBY_LOD2_4959458,dim,2,3,2,1,1,42.136673,42.137846,86,86,0.099725,0.123130
DEBY_LOD2_4959459,als,2,3,0,0,0,0,0,0,0,,
DEBY_LOD2_4959459,dim,2,7,0,0,0,0,0,0,0,,
DEBY_LOD2_4959460,als,3,16,3,3,3,199.428219,180.556593,410,385,1.023009,8.522980
DEBY_LOD2_4959460,dim,3,10,1,0,0,0,0,0,0,,
DEBY_LOD2_4959461,als,7,5,2,1,1,5.143167,13.832751,12,31,1.590572,8.160963
DEBY_LOD2_4959461,dim,7,15,5,10,5,29.058510,39.633309,63,105,3.892653,16.767186
DEBY_LOD2_4959463,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4959463,dim,1,2,1,0,0,0,0,0,0,,
DEBY_LOD2_4959464,als,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4959464,dim,1,1,1,0,0,0,0,0,0,,
DEBY_LOD2_4959793,als,4,4,4,6,5,37.860333,36.296099,84,81,0.419732,0.943853
DEBY_LOD2_4959793,dim,4,4,4,6,5,37.860333,36.602720,84,83,0.457887,1.095364
DEBY_LOD2_8573849,als,8,15,7,21,10,110.479048,107.160692,235,251,0.550219,3.295091
DEBY_LOD2_8573849,dim,8,17,6,15,8,97.350006,79.740815,206,188,0.520355,3.611714
