selection_order,building_id,image_name,class6_npz_path,class6_valid_pixels_n,class6_outer_edge_masked_pixels_n,class2_npz_path,class2_valid_pixels_n,class2_outer_edge_masked_pixels_n,combined_depth_path,combined_normal_path,combined_valid_mask_path,photo_support_mask_path,photo_support_valid_pixels_n,combined_valid_pixels_n,combined_class6_pixels_n,combined_class2_pixels_n,pose_sha256
1,DEBY_LOD2_42364609,DJI_20241217084827_0177_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217084827_0177_D.JPG.npz,643,1315,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217084827_0177_D.JPG.npz,24226,40952,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217084827_0177_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217084827_0177_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217084827_0177_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217084827_0177_D.npy,2674,24560,643,23917,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
2,DEBY_LOD2_42364609,DJI_20241217095127_0070_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217095127_0070_D.JPG.npz,2,42,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217095127_0070_D.JPG.npz,348,1119,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217095127_0070_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217095127_0070_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217095127_0070_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217095127_0070_D.npy,82,350,2,348,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
3,DEBY_LOD2_42364609,DJI_20241217102933_0012_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217102933_0012_D.JPG.npz,193,536,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217102933_0012_D.JPG.npz,7380,13646,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217102933_0012_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217102933_0012_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217102933_0012_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217102933_0012_D.npy,849,7510,193,7317,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
4,DEBY_LOD2_42364609,DJI_20241217084829_0178_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217084829_0178_D.JPG.npz,571,1371,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217084829_0178_D.JPG.npz,21843,36503,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217084829_0178_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217084829_0178_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217084829_0178_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217084829_0178_D.npy,2635,22184,571,21613,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
5,DEBY_LOD2_42364609,DJI_20241217084825_0176_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217084825_0176_D.JPG.npz,552,1375,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217084825_0176_D.JPG.npz,19922,34185,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217084825_0176_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217084825_0176_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217084825_0176_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217084825_0176_D.npy,2674,20214,552,19662,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
6,DEBY_LOD2_42364609,DJI_20241217095139_0076_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217095139_0076_D.JPG.npz,0,36,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217095139_0076_D.JPG.npz,434,1074,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217095139_0076_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217095139_0076_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217095139_0076_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217095139_0076_D.npy,62,434,0,434,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
7,DEBY_LOD2_42364609,DJI_20241217102935_0013_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217102935_0013_D.JPG.npz,159,508,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217102935_0013_D.JPG.npz,7725,15064,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217102935_0013_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217102935_0013_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217102935_0013_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217102935_0013_D.npy,783,7827,159,7668,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
8,DEBY_LOD2_42364609,DJI_20241217102939_0015_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217102939_0015_D.JPG.npz,156,417,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217102939_0015_D.JPG.npz,6945,12955,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217102939_0015_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217102939_0015_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217102939_0015_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217102939_0015_D.npy,677,7036,156,6880,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
9,DEBY_LOD2_42364609,DJI_20241217095141_0077_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217095141_0077_D.JPG.npz,0,31,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217095141_0077_D.JPG.npz,322,891,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217095141_0077_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217095141_0077_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217095141_0077_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217095141_0077_D.npy,59,322,0,322,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
10,DEBY_LOD2_42364609,DJI_20241217084837_0182_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217084837_0182_D.JPG.npz,520,1120,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217084837_0182_D.JPG.npz,12287,18866,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217084837_0182_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217084837_0182_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217084837_0182_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217084837_0182_D.npy,2212,12676,520,12156,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
